%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1487110425992,1487110433122
1,1,34,34,0,1487110434092,1487110440856
2,0,15,15,0,1487110445859,1487110452856
2,1,73,73,0,1487110453826,1487110460556
2,2,164,164,0,1487110461560,1487110469924
2,3,705,705,0,1487110470894,1487110479491
2,4,2173,2173,0,1487110480461,1487110491325
2,5,1504,1504,0,1487110492295,1487110503293
2,6,42350,42350,1,1487110504296,1487110524310
2,7,24061,24061,0,1487110525280,1487110540411
2,8,061743,061743,0,1487110541381,1487110556679
2,9,625037,642507,0,1487110557649,1487110578014
2,10,7152305,7152403,0,1487110578983,1487110604515
2,11,3157264,3152764,0,1487110605485,1487110625616
3,0,60,06,0,1487110632686,1487110639150
3,1,24,24,0,1487110640120,1487110647084
4,0,25,52,0,1487110653388,1487110659951
4,1,63,36,0,1487110660954,1487110667151
4,2,574,475,0,1487110668121,1487110678319
4,3,207,702,0,1487110679322,1487110688053
4,4,7305,5037,0,1487110689023,1487110699220
4,5,4130,0314,0,1487110700190,1487110711387
4,6,35741,14753,0,1487110712357,1487110725221
4,7,70526,60527,0,1487110726191,1487110740556
4,8,607251,152807,0,1487110741526,1487110757157
4,9,270643,360472,0,1487110758127,1487110773924
