%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,15,6,0,0,10,ifbakcadmfcihjobcmkoboamdbaccgalfdbacbacboeafffm,001101100010000100000000000000000000000000000000
1,28,13,2,0,14,cbcbdanajckhnbgafclbgnimaccnbijflobpaaicamcflobh,110101010100010101010000011010000000000000000000
2,36,17,2,0,18,achebbaclciildfkbpkbicaaamocgebbdajcbchopcpflgan,100011110100000010010111100100110100100000000000
3,36,9,7,0,21,chapbkpcpgmboacakbbafneofgchmalacnggbpbfcakceebb,101010000001000001100000001000010000100000000000
4,25,11,1,0,14,ickaabpclebfahiccnagbkhmfbajajcbpjcbcdbbedpiahgl,010111000010100110101000010000000000000000000000
5,27,8,6,0,14,jnaoeebdacdfcbjccaalgbnlbeabadikcbfncbadkknjbdcf,001000100100010010000100100100000000000000000000
6,31,13,2,0,17,mcbdiebaaecbpckjbcnoagdlabeiaihclfadcbckppkbcapm,010000111010010011001000110010010000000000000000
7,47,11,11,0,26,pahkbcnmooibaccikhaalnbcbibcpbhagpfhjkcoaahfbmbc,010010000000011000110000101001010000000000000001
8,34,14,3,0,18,ifbekmobpcaojdpacahabcnbjncgckobcabjpaebiecckkao,001000010010000111011001001010011010000000000000
9,24,10,0,0,15,hcilaecifpbjbegaabgihcmkamcbdccfjfambbaicchpjlba,010010100010100111000100100000000000000000000000
10,28,14,0,0,15,laoebkmcchabambecfgnlaoicbbmbjonaclcapmaeebfobcp,010010011011101010000100111010000000000000000000
11,32,11,5,0,17,adbiphafceghbhcbclkaclgokbabacpfagmcmfobcbkmfaec,101000101000100100010000001011001000000000000000
