%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487810444094,1487810447062,1487810458621
1,G4,G,4,1487810460146,1487810463147,1487810469062
2,3W5,W,35,1487810470596,1487810475097,1487810481183
3,T7L,LT,7,1487810482714,1487810487215,1487810495219
4,1JA,AJ,1,1487810496747,1487810501249,1487810507580
0,F4,F,4,1487810511898,1487810514900,1487810519943
1,1J,J,1,1487810521465,1487810524467,1487810529307
2,A7,A,7,1487810530833,1487810533835,1487810541541
3,L1H,HL,1,1487810543067,1487810547569,1487810557201
4,T2S,ST,2,1487810558734,1487810563236,1487810571061
5,K43,K,34,1487810572586,1487810577087,1487810582758
6,R5B2,BR,25,1487810584269,1487810590270,1487810610074
7,N3L9,LN,39,1487810611604,1487810617606,1487810631271
8,5V8P,PV,58,1487810632805,1487810638806,1487810649539
9,4M7S1,MS,147,1487810651073,1487810658574,1487810678038
10,L3E1D,EL,134,1487810679558,1487810687059,1487810723293
11,9M6K2,KM,269,1487810724793,1487810732295,1487810757779
12,D1B5R9,BM,59,1487810759312,1487810768314,1487810813711
13,G9T2A5,GT,295,1487810815232,1487810824234,1487810877345
14,3W5A1G,AG,15,1487810878869,1487810887870,1487810908302
