%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487007082099,1487007085100,1487007095741
1,G4,G,4,1487007097266,1487007100268,1487007109571
2,3W5,W,35,1487007111101,1487007115602,1487007126269
3,T7L,TL,7,1487007127802,1487007132303,1487007143323
4,1JA,LJ,1,1487007146353,1487007150854,1487007163464
0,L2,L,2,1487007170287,1487007173289,1487007183338
1,6P,P,6,1487007184871,1487007187873,1487007193989
2,B5,B,5,1487007195522,1487007198524,1487007204772
3,F7L,FL,7,1487007206306,1487007210808,1487007219290
4,R4D,RD,4,1487007220823,1487007225325,1487007234041
5,H18,H,18,1487007235574,1487007240076,1487007247775
6,T9A3,T,983,1487007249342,1487007255310,1487007268964
7,V1J5,VJ,15,1487007270493,1487007276495,1487007285888
8,7N4L,NL,74,1487007287411,1487007293412,1487007305579
