%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486145041313,1486145048046
1,1,34,34,0,1486145049047,1486145055012
2,0,52,52,0,1486145063181,1486145069680
2,1,36,36,0,1486145070681,1486145077247
2,2,368,368,0,1486145078249,1486145086547
2,3,208,208,0,1486145087549,1486145094948
2,4,2306,2306,0,1486145095916,1486145106648
2,5,5047,5047,0,1486145107617,1486145118049
2,6,41075,41075,0,1486145119017,1486145133750
2,7,31620,31620,0,1486145134752,1486145146717
2,8,281376,281376,0,1486145147686,1486145162051
2,9,816508,816508,0,1486145163053,1486145177086
2,10,4806317,48406137,0,1486145178087,1486145198220
2,11,0851680,0851680,0,1486145199222,1486145216288
2,12,47081536,47085163,1,1486145217289,1486145255524
2,13,25408016,42580136,1,1486145256525,1486145280658
3,0,60,06,0,1486145289127,1486145295293
3,1,24,42,0,1486145296261,1486145302493
4,0,51,15,0,1486145314129,1486145321327
4,1,37,73,0,1486145322329,1486145328127
4,2,630,036,1,1486145329096,1486145339395
4,3,580,085,0,1486145340363,1486145348195
4,4,5683,3865,1,1486145349164,1486145372330
4,5,2841,1482,0,1486145373332,1486145384698
4,6,47812,12874,0,1486145385699,1486145396898
4,7,03415,51430,0,1486145397900,1486145409599
4,8,507613,316705,0,1486145410600,1486145425366
4,9,073280,08273,0,1486145426335,1486145441167
4,10,4083671,176340,0,1486145442135,1486145464002
4,11,8027308,803720,0,1486145465004,1486145486770
