%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486603147892,1486603154624
1,1,34,34,0,1486603155626,1486603162024
2,0,15,15,0,1486603165993,1486603172625
2,1,73,73,1,1486603173594,1486603181825
2,2,164,164,0,1486603182793,1486603192393
2,3,705,705,0,1486603193395,1486603202960
2,4,2173,2173,0,1486603203929,1486603215494
2,5,1504,1504,0,1486603216462,1486603227328
2,6,42350,42350,0,1486603228329,1486603241695
2,7,24061,24061,0,1486603242697,1486603255596
2,8,061743,067143,0,1486603256565,1486603270530
2,9,625037,625037,0,1486603271498,1486603285664
2,10,7152305,7152035,0,1486603286633,1486603304999
2,11,3157264,3152764,0,1486603306000,1486603322666
3,0,60,06,0,1486603331935,1486603339368
3,1,24,42,0,1486603340369,1486603347068
4,0,25,52,0,1486603356004,1486603362069
4,1,63,36,0,1486603363071,1486603370570
4,2,574,475,0,1486603371538,1486603380403
4,3,207,702,0,1486603381372,1486603390004
4,4,7305,5037,0,1486603390973,1486603400971
4,5,4130,0314,0,1486603401940,1486603412138
4,6,35741,14753,0,1486603413108,1486603424639
4,7,70526,62507,0,1486603425607,1486603437107
4,8,607251,125706,0,1486603438108,1486603452174
4,9,270643,436072,0,1486603453142,1486603469575
