%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486601653955,1486601656957,1486601663731
1,G4,G,4,1486601665256,1486601668258,1486601673723
2,3W5,W,35,1486601675223,1486601679725,1486601684757
3,T7L,L,7,1486601686324,1486601690793,1486601695041
4,1JA,JA,1,1486601698041,1486601702543,1486601707819
0,L2,L,2,1486601717475,1486601720477,1486601725043
1,6P,P,6,1486601726576,1486601729578,1486601733433
2,B5,B,5,1486601734960,1486601737961,1486601742946
3,F7L,FL,7,1486601744477,1486601748979,1486601757028
4,R4D,DR,4,1486601758561,1486601763063,1486601768250
5,H18,H,18,1486601769779,1486601774280,1486601778795
6,T9A3,AT,39,1486601780329,1486601786330,1486601793067
7,V1J5,JV,15,1486601794597,1486601800598,1486601806497
8,7N4L,LN,47,1486601807997,1486601813999,1486601819081
9,8D6G1,DG,168,1486601820615,1486601828116,1486601834332
10,K2C7S,CKS,27,1486601835866,1486601843367,1486601848342
11,5P3Y9,PY,359,1486601849866,1486601857368,1486601863700
12,M4E7Q2,EMQ,247,1486601865200,1486601874202,1486601879869
13,W8H5F3,HQW,238,1486601881401,1486601890403,1486601906941
14,6G9A2S,AGS,269,1486601908471,1486601917471,1486601923371
15,R3B4Z1C,BRSZ,134,1486601924904,1486601935406,1486601949276
16,5T9B4K3,BTK,3459,1486601950805,1486601961307,1486601967745
17,E1H8R4D,BTT,134,1486601969273,1486601979775,1486601993908
