%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486154441043,1486154444046,1486154465817
1,G4,G,4,1486154467311,1486154470313,1486154475528
2,3W5,W,35,1486154477029,1486154481530,1486154487598
3,T7L,LT,7,1486154489129,1486154493631,1486154503119
4,1JA,AJ,1,1486154504647,1486154509148,1486154515617
0,F4,F,4,1486154520414,1486154523416,1486154527442
1,1J,J,1,1486154528965,1486154531966,1486154536482
2,A7,A,7,1486154538015,1486154541017,1486154546170
3,L1H,HL,1,1486154547732,1486154552201,1486154560853
4,T2S,ST,2,1486154562383,1486154566885,1486154574882
5,K43,K,34,1486154576401,1486154580902,1486154585789
6,R5B2,BR,25,1486154587318,1486154593321,1486154607302
7,N3L9,LN,39,1486154608836,1486154614838,1486154634937
8,5V8P,PV,58,1486154636471,1486154642473,1486154651807
9,4M7S1,MS,147,1486154653338,1486154660840,1486154684129
10,L3E1D,DEL,13,1486154685657,1486154693159,1486154721245
11,9M6K2,KM,269,1486154722776,1486154730277,1486154772162
12,D1B5R9,DNR,139,1486154773696,1486154782697,1486154809788
13,G9T2A5,AGR,259,1486154811314,1486154820316,1486154835249
14,3W5A1G,AJW,135,1486154836782,1486154845785,1486154856150
