%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,24,12,0,0,13,acacomnmbkjoobkafcembbacimcjaadhbcbemokoaafcemcd,111100001000010101001111000000000000000000000000
1,32,14,0,0,19,ooemnabbdcmicaccapbnfkdbhgpgdpacclabblaipiacfkcb,000001110100111110100001000000111000000000000000
2,31,14,2,0,16,ajcacpobbdoaccfjknbabddbjefikbccaeadmpacdkkaocmk,101110011001110000111001000001000000000000000000
3,32,14,2,0,17,albbfmckalncmagfbcfhjacdhbgcebkcbkaacdmfdapiggcb,101100101001010010000010010101011000000000000000
4,26,10,2,0,15,ambpdfiacbgcaagpcdmgkoncbpbchcbabilkagealmahhccj,101000010101110010000000101000000000000000000000
5,29,11,2,2,15,obkeeabcomcajfbakhkcmcnajbbpfkegcfclabandblcbmea,000001100011001100010101011011000000000000000000
6,30,13,3,0,15,bhonfbjajdcackmfkccabbkahdpbacckoebaebjccadkmlem,100001010010100001111101000010100000000000000000
7,29,15,1,0,14,bpaacbclejolmajbcfcibafbhiiabcjahmcjeodbkjoancka,101111100000010110101101000011000000000000000000
8,34,15,1,0,19,bpabcdlailicelcdcpbihmbfaaacdfmffbcbdoahcclobjbk,101110010001001010100010111100000010000000000000
9,35,14,1,0,21,nceehcbmaiabncacgjmadpobbnkliahlafkbcckibbnblcea,010001101011011100010000100001001001000000000000
10,34,16,1,0,18,ekhafmbcbeacpciablmmdabmhlnccabanhbcpbacneeiadfe,000100111011010110000110000110110010000000000000
11,32,12,4,1,16,fbafbcfngpjfalocoomcbaabklmcbaccneebadghchjiibca,011011000000100100010111000101001000000000000000
