%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486169652336,1486169660033
1,1,34,34,0,1486169661004,1486169667533
2,0,15,15,0,1486169675004,1486169681701
2,1,73,73,0,1486169682704,1486169689369
2,2,164,164,0,1486169690372,1486169698268
2,3,705,705,0,1486169699239,1486169707302
2,4,2173,2173,0,1486169708272,1486169717970
2,5,1504,1504,0,1486169718940,1486169729004
2,6,42350,42350,0,1486169730007,1486169742521
2,7,24061,24061,0,1486169743490,1486169755322
2,8,061743,061743,0,1486169756325,1486169769922
2,9,625037,625037,0,1486169770926,1486169784190
2,10,7152305,7152305,0,1486169785160,1486169801424
2,11,3157264,3157264,0,1486169802428,1486169820659
2,12,64527631,65274613,0,1486169821629,1486169844477
2,13,05631742,05163724,1,1486169845480,1486169882762
3,0,60,06,0,1486169892249,1486169898613
3,1,24,42,0,1486169899583,1486169906447
4,0,25,52,0,1486169911750,1486169917814
4,1,63,36,0,1486169918784,1486169924748
4,2,574,475,0,1486169925718,1486169933415
4,3,207,702,0,1486169934418,1486169942349
4,4,7305,5073,0,1486169943319,1486169956717
4,5,4130,0134,0,1486169957720,1486169969717
