%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1488390338109,1488390344741
1,1,34,34,0,1488390345709,1488390351741
2,0,52,52,0,1488390357043,1488390363275
2,1,36,36,0,1488390364277,1488390370109
2,2,368,368,0,1488390371078,1488390379843
2,3,208,208,0,1488390380811,1488390388743
2,4,2306,2306,0,1488390389745,1488390399511
2,5,5047,5047,0,1488390400512,1488390410145
2,6,41075,41075,0,1488390411113,1488390423812
2,7,31620,31620,0,1488390424814,1488390436746
2,8,281376,281376,0,1488390437715,1488390450980
2,9,816508,816508,0,1488390451948,1488390465647
2,10,4806317,8046317,0,1488390466618,1488390482482
2,11,0851680,0851608,1,1488390483450,1488390507583
3,0,60,06,0,1488390511252,1488390517150
3,1,24,,0,1488390518152,1488390523351
4,0,51,15,0,1488390526286,1488390532018
4,1,37,73,0,1488390532988,1488390538652
4,2,630,036,0,1488390539621,1488390547285
4,3,580,085,0,1488390548287,1488390556486
4,4,5683,3865,0,1488390557456,1488390567087
4,5,2841,1482,0,1488390568055,1488390577554
4,6,47812,21874,0,1488390578523,1488390589555
4,7,03415,51340,0,1488390590525,1488390607623
4,8,507613,316705,0,1488390608591,1488390622323
4,9,073280,082730,3,1488390623292,1488390653959
4,10,4083671,18763048,0,1488390654960,1488390675243
4,11,8027308,807328,0,1488390676244,1488390694477
