%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,,1488389086369,1488389089337,1488389097012
1,G4,G,4,1488389100038,1488389103038,1488389106904
2,3W5,W,35,1488389108437,1488389112939,1488389117854
3,T7L,LT,7,1488389119354,1488389123856,1488389130513
4,1JA,AJ,1,1488389132038,1488389136540,1488389141395
0,F4,F,4,1488389144256,1488389147257,1488389150976
1,1J,J,1,1488389152506,1488389155508,1488389159224
2,A7,A,7,1488389160757,1488389163758,1488389167859
3,L1H,HL,1,1488389169391,1488389173892,1488389181995
4,T2S,ST,2,1488389183525,1488389188026,1488389192664
5,K43,K,34,1488389194192,1488389198695,1488389203346
6,R5B2,BR,25,1488389204876,1488389210877,1488389217097
7,N3L9,LN,39,1488389218627,1488389224628,1488389232382
8,5V8P,VP,58,1488389233911,1488389239912,1488389244502
9,4M7S1,LNS,147,1488389246028,1488389253530,1488389272763
10,L3E1D,NL,13,1488389274296,1488389281798,1488389296768
11,9M6K2,KM,269,1488389298298,1488389305800,1488389317638
12,D1B5R9,BDLN,15,1488389319166,1488389328167,1488389357206
13,G9T2A5,BDG,2129,1488389358735,1488389367736,1488389406770
14,3W5A1G,ABGW,135,1488389408305,1488389417306,1488389446309
