%Recollect Version 2.3. Scene/Level: , Game Number: 003
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,56,56,,,0,1488389456661,,1488389459024,1488389461192
3,1,2,41,41,,,0,1488389463196,,1488389465525,1488389466958
3,2,3,5E7,5E7,,,0,1488389468963,,1488389472525,1488389474225
3,3,3,E43,E43,,,0,1488389476230,,1488389479725,1488389481592
10,0,0,,,1,1,0,1488389490595,1488389490593,1488389479725,1488389492826
10,1,0,,,1,1,0,1488389494827,1488389494827,1488389479725,1488389497293
10,2,0,,,1,1,0,1488389499294,1488389499293,1488389479725,1488389500660
10,3,0,,,1,1,0,1488389502660,1488389502660,1488389479725,1488389503460
10,4,0,,,0,0,0,1488389505428,1488389505428,1488389479725,1488389506427
10,5,0,,,1,1,0,1488389508428,1488389508428,1488389479725,1488389509160
10,6,0,,,0,0,0,1488389511161,1488389511161,1488389479725,1488389512494
10,7,0,,,0,0,0,1488389514494,1488389514494,1488389479725,1488389515494
10,8,0,,,0,0,0,1488389517495,1488389517495,1488389479725,1488389518894
10,9,0,,,0,0,0,1488389520895,1488389520895,1488389479725,1488389521694
10,10,0,,,0,0,0,1488389523695,1488389523695,1488389479725,1488389524528
10,11,0,,,1,1,0,1488389526529,1488389526528,1488389479725,1488389527562
10,12,0,,,0,0,0,1488389529563,1488389529563,1488389479725,1488389530595
10,13,0,,,0,0,0,1488389532595,1488389532595,1488389479725,1488389533329
10,14,0,,,1,1,0,1488389535329,1488389535329,1488389479725,1488389536062
10,15,0,,,0,0,0,1488389538062,1488389538062,1488389479725,1488389538829
13,0,2,02,02,10,10,0,1488389546217,1488389551651,1488389553051,1488389555680
13,1,2,9F,9F,01,01,0,1488389557652,1488389562152,1488389563285,1488389564813
13,2,2,AD,AD,10,10,1,1488389566785,1488389570985,1488389572153,1488389576547
14,0,4,4B50,4B50,0101,0101,0,1488389581319,1488389592054,1488389592987,1488389596083
14,1,4,5ABE,5ABE,0011,0011,0,1488389598053,1488389607288,1488389608155,1488389610816
14,2,3,F76,F76,011,011,0,1488389612787,1488389619388,1488389620289,1488389623650
14,3,3,72C,72C,001,001,0,1488389625622,1488389632689,1488389633556,1488389635917
14,4,5,84372,48372,10010,10010,0,1488389637923,1488389649689,1488389650823,1488389654585
14,5,2,5D,5D,11,11,0,1488389656589,1488389661157,1488389662624,1488389664952
14,6,2,3A,3A,01,01,0,1488389666923,1488389671158,1488389672125,1488389674819
14,7,2,64,64,01,01,0,1488389676791,1488389680958,1488389681692,1488389683653
14,8,5,2896F,2896F,01010,01010,0,1488389685658,1488389697660,1488389698461,1488389701321
14,9,5,D3B12,D3712,00110,00010,0,1488389703325,1488389715259,1488389716793,1488389720056
14,10,4,3EBD,3EBD,1100,1100,1,1488389722027,1488389733395,1488389734362,1488389740090
14,11,3,8DC,8DC,111,111,0,1488389742061,1488389749329,1488389750163,1488389752258
