%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488321486371,1488321489339,1488321496915
1,G4,G,4,1488321498438,1488321501439,1488321506438
2,3W5,W,35,1488321507972,1488321512473,1488321518727
3,T7L,LT,7,1488321520256,1488321524758,1488321531441
4,1JA,AJ,1,1488321532973,1488321537475,1488321542711
0,F4,F,4,1488321546041,1488321549042,1488321553845
1,1J,J,1,1488321555375,1488321558376,1488321562435
2,A7,A,7,1488321563958,1488321566960,1488321571827
3,L1H,HL,1,1488321573359,1488321577860,1488321584609
4,T2S,ST,2,1488321586143,1488321590644,1488321595977
5,K43,K,34,1488321597510,1488321602012,1488321607544
6,R5B2,BR,25,1488321609044,1488321615046,1488321625083
7,N3L9,LN,39,1488321626612,1488321632613,1488321641596
8,5V8P,PV,58,1488321643096,1488321649098,1488321658452
9,4M7S1,MS,147,1488321659981,1488321667482,1488321674823
10,L3E1D,EDL,13,1488321676348,1488321683850,1488321705688
11,9M6K2,KM,269,1488321707216,1488321714718,1488321739102
12,D1B5R9,BDR,15,1488321740635,1488321749637,1488321774142
13,G9T2A5,GTR,92,1488321775670,1488321784672,1488321815275
14,3W5A1G,AGW,135,1488321816806,1488321825808,1488321842045
15,B6H7A5K,BHK,567,1488321843574,1488321854076,1488321870090
16,8H4R1C2,CH,1248,1488321871612,1488321882114,1488321900817
17,C7B5N9Y,BC,567,1488321902347,1488321912849,1488321929159
