%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,20,6,1,0,14,apecobmafdeelbooffmcbcjaocapdhbmcabcajbbpbanppcd,100101010000010000001000000000000000000000000000
1,21,11,0,1,10,clgdapecdmabbbbgcficiajjmacbkaibmcadigeceapbkpbj,100010010011111010110100000000000000000000000000
2,29,12,2,3,13,kfcgbefhaapdbgcicbdaolcpaebacibfldcbajckbcfapfgh,101010001100101101010010101011000000000000000000
3,27,11,3,5,9,jooabaccbpclgoaibdbpaceibdcmlghacibaljgahobloahc,100111011010001110101001110100000000000000000000
4,27,12,1,4,11,cllcajbfefbkaancbdkebcdakglbcgimaabcenbpacadonfp,100111100011110110101100100100000000000000000000
5,30,15,0,5,11,ebnfcmagbcajgkgahfabbccbkaocfokammblgceahpdpgacb,010010101111010100111111110101100000000000000000
6,29,13,1,8,8,ginfjcababjdckbalgciabcggamkcibbjepijhamnicbacnc,010011101110111100111110011111000000000000000000
7,32,13,2,3,15,ddnbcdacbaafagicbcinoeenkgbclcnnalabhkebkabaelkc,000110101110101111100000101100001000000000000000
8,27,12,2,3,11,hnadccnfbbaabcegcilkhbabbghjpnioancaljcmccdibipa,001011000011110011010111100100000000000000000000
9,28,12,3,8,6,dcaekbdfpcabajicbbkciiacjecmbfagokbagbakpbmoenjc,001011000011111111111111100110000000000000000000
10,30,15,0,5,11,kcbcggabachonbngbadocgabgblfpkcoacgakmpiaheabcnj,111110111100010011001011010111100000000000000000
11,33,11,6,2,15,pcooanlbcmbaicjkmbaedfbnlcamhacbcbhijammbcabldhe,010010011001101000100010001001010100000000000000
