%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1488244320480,1488244327679
1,1,34,34,0,1488244328649,1488244335046
2,0,52,52,0,1488244340683,1488244347347
2,1,36,36,0,1488244348317,1488244354613
2,2,368,368,0,1488244355582,1488244363413
2,3,208,208,0,1488244364382,1488244372315
2,4,2306,2306,0,1488244373285,1488244384881
2,5,5047,5047,1,1488244385883,1488244399615
2,6,41075,401755,0,1488244400586,1488244415050
2,7,31620,31620,1,1488244416054,1488244435818
2,8,281376,281376,0,1488244436788,1488244455920
2,9,816508,81608,0,1488244456889,1488244471953
2,10,4806317,8046138,0,1488244472955,1488244490488
2,11,0851680,8516048,0,1488244491491,1488244513656
3,0,60,06,0,1488244521176,1488244528173
3,1,24,42,0,1488244529142,1488244535473
4,0,51,15,0,1488244540209,1488244546907
4,1,37,73,0,1488244547876,1488244554241
4,2,630,036,0,1488244555245,1488244564142
4,3,580,085,0,1488244565112,1488244574176
4,4,5683,3865,0,1488244575146,1488244587677
4,5,2841,1842,1,1488244588647,1488244602944
4,6,47812,28174,0,1488244603912,1488244624445
4,7,03415,51430,0,1488244625413,1488244640046
4,8,507613,316705,0,1488244641016,1488244667514
4,9,073280,,0,1488244668482,1488244689181
4,10,4083671,174206,0,1488244690184,1488244707150
4,11,8027308,8073245,0,1488244708152,1488244726418
