%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488242649294,1488242652512,1488242662405
1,G4,G,4,1488242663961,1488242667146,1488242672722
2,3W5,W,35,1488242674245,1488242679165,1488242686352
3,T7L,LT,7,1488242687879,1488242692599,1488242701547
4,1JA,AJ,1,1488242703047,1488242707765,1488242717782
0,F4,F,4,1488242724915,1488242727949,1488242733139
1,1J,J,1,1488242734665,1488242737667,1488242742909
2,A7,A,7,1488242744433,1488242747434,1488242753904
3,L1H,HL,1,1488242755434,1488242760151,1488242771284
4,T2S,ST,2,1488242772817,1488242777537,1488242787242
5,K43,K,34,1488242788801,1488242793271,1488242798403
6,R5B2,BR,25,1488242799969,1488242805938,1488242819666
7,N3L9,NL,39,1488242821220,1488242827407,1488242841312
8,5V8P,PV,58,1488242842838,1488242849491,1488242862739
9,4M7S1,MS,147,1488242864272,1488242872177,1488242906908
10,L3E1D,DEL,13,1488242908408,1488242916343,1488242939896
11,9M6K2,KNM,269,1488242941427,1488242949562,1488242982084
12,D1B5R9,BDMR,15,1488242983613,1488242992849,1488243015448
13,G9T2A5,GM,259,1488243016981,1488243025984,1488243043149
14,3W5A1G,AGW,135,1488243044683,1488243053684,1488243080178
15,B6H7A5K,ABK,567,1488243081735,1488243092443,1488243110926
16,8H4R1C2,AHR,1248,1488243112426,1488243122931,1488243151421
17,C7B5N9Y,BCN,579,1488243152979,1488243163448,1488243182339
