%Recollect Version 2.3. Scene/Level: , Game Number: 003
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,45,45,,,0,1486143626555,,1486143628917,1486143632585
3,1,2,58,58,,,0,1486143634588,,1486143636951,1486143638184
3,2,3,304,304,,,0,1486143640155,,1486143643651,1486143645018
3,3,3,6FA,6FA,,,0,1486143646990,,1486143650552,1486143651951
10,0,0,,,1,1,0,1486143717691,1486143717689,1486143650552,1486143722557
10,1,0,,,1,1,0,1486143724556,1486143724556,1486143650552,1486143732956
10,2,0,,,0,0,0,1486143734957,1486143734957,1486143650552,1486143738790
10,3,0,,,0,0,0,1486143740758,1486143740758,1486143650552,1486143746857
10,4,0,,,1,1,0,1486143748858,1486143748858,1486143650552,1486143753691
10,5,0,,,0,0,0,1486143755692,1486143755692,1486143650552,1486143758958
10,6,0,,,1,1,0,1486143760958,1486143760958,1486143650552,1486143765693
10,7,0,,,0,0,0,1486143767659,1486143767658,1486143650552,1486143770892
10,8,0,,,1,1,0,1486143772892,1486143772892,1486143650552,1486143781325
10,9,0,,,0,0,0,1486143783326,1486143783326,1486143650552,1486143789959
10,10,0,,,0,0,0,1486143791960,1486143791960,1486143650552,1486143797060
10,11,0,,,1,Z,0,1486143799027,1486143799027,1486143650552,1486143809027
10,12,0,,,0,0,0,1486143811061,1486143811061,1486143650552,1486143814027
10,13,0,,,0,0,0,1486143815995,1486143815995,1486143650552,1486143820294
10,14,0,,,1,1,0,1486143822262,1486143822262,1486143650552,1486143828261
10,15,0,,,1,1,0,1486143830263,1486143830263,1486143650552,1486143838895
13,0,2,FC,FC,10,10,0,1486143885202,1486143894103,1486143900104,1486143903532
13,1,2,67,67,01,01,0,1486143905505,1486143911638,1486143917605,1486143919466
13,2,2,C3,C3,10,10,0,1486143921471,1486143933372,1486143935239,1486143937134
14,0,5,17BE2,567D2,01111,0Z111,1,1486143960274,1486143992675,1486144000411,1486144011805
14,1,3,07F,67E,010,010,1,1486144013810,1486144037747,1486144047313,1486144054707
14,2,3,8B0,8B0,100,100,0,1486144056712,1486144077713,1486144083982,1486144087909
14,3,2,B4,B4,00,00,0,1486144089915,1486144096415,1486144102515,1486144104877
14,4,4,6A74,6A74,0111,0Z11,0,1486144106881,1486144132950,1486144136917,1486144140946
14,5,3,45D,459,000,000,0,1486144142917,1486144157084,1486144160919,1486144163214
14,6,4,5B0E,6B5E,0111,0111,0,1486144165185,1486144180720,1486144183303,1486144187332
14,7,4,6E5B,6E5B,1001,1101,0,1486144189303,1486144210670,1486144216705,1486144220301
14,8,5,B38EA,B3CAF,01100,011Z0,0,1486144222272,1486144256907,1486144260008,1486144266003
14,9,5,AB452,AB452,10110,00110,0,1486144267974,1486144294108,1486144299010,1486144303105
14,10,2,7F,7F,11,11,1,1486144305109,1486144314377,1486144320011,1486144324840
14,11,2,AE,AE,10,10,0,1486144326812,1486144335945,1486144341545,1486144343474
