%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,5,8,3,0,0,7,1487382451632,1487382452866,1487382451101
6,5,9,3,0,0,3,1487382454698,1487382455799,1487382454168
6,5,10,3,0,0,6,1487382457732,1487382459099,1487382457202
6,5,11,3,1,0,4,1487382460765,-1,1487382460235
6,5,12,3,1,0,0,1487382463799,-1,1487382463270
6,5,13,3,1,0,2,1487382466832,-1,1487382466302
6,5,14,3,1,0,3,1487382469866,-1,1487382469337
6,5,15,3,1,0,6,1487382472933,-1,1487382472403
6,5,16,3,1,0,4,1487382475933,-1,1487382475437
6,5,17,3,1,0,5,1487382478967,-1,1487382478469
6,5,18,3,1,0,0,1487382482033,-1,1487382481503
6,5,19,3,1,0,1,1487382485067,-1,1487382484536
6,5,20,3,0,1,5,1487382488100,-1,1487382487569
6,5,21,3,0,1,0,1487382491134,-1,1487382490603
6,5,22,3,1,1,1,1487382494201,1487382495268,1487382493671
6,5,23,3,0,0,3,1487382497267,1487382498334,1487382496737
6,6,1,1,0,3,5,1487382503801,-1,1487382503269
6,6,2,1,1,0,7,1487382506835,-1,1487382506304
6,6,3,1,1,0,3,1487382509903,-1,1487382509371
6,6,4,1,1,1,3,1487382512968,1487382513903,1487382512438
6,6,5,1,0,1,3,1487382516002,-1,1487382515472
6,6,6,1,1,0,0,1487382519035,-1,1487382518505
6,6,7,1,0,0,7,1487382522036,1487382524069,1487382521538
6,6,8,1,1,0,4,1487382525103,-1,1487382524572
6,6,9,1,1,0,0,1487382528136,-1,1487382527605
6,6,10,1,1,0,2,1487382531203,-1,1487382530672
6,6,11,1,1,1,2,1487382534236,1487382535203,1487382533705
6,6,12,1,1,0,4,1487382537303,-1,1487382536772
6,6,13,1,1,0,3,1487382540337,-1,1487382539806
6,6,14,1,1,0,1,1487382543370,-1,1487382542873
6,6,15,1,0,1,1,1487382546437,-1,1487382545906
6,6,16,1,1,1,1,1487382549470,1487382550671,1487382548940
6,6,17,1,1,0,5,1487382552537,-1,1487382552007
6,6,18,1,1,0,0,1487382555604,-1,1487382555075
6,6,19,1,1,0,3,1487382558671,-1,1487382558141
6,6,20,1,1,0,2,1487382561704,-1,1487382561207
6,6,21,1,0,1,2,1487382564738,-1,1487382564210
6,7,1,2,0,3,2,1487382569938,-1,1487382569406
6,7,2,2,0,3,3,1487382572972,-1,1487382572441
6,7,3,2,1,0,7,1487382576039,-1,1487382575509
6,7,4,2,1,2,7,1487382579073,-1,1487382578541
6,7,5,2,1,2,3,1487382582106,-1,1487382581608
6,7,6,2,0,2,3,1487382585173,1487382586240,1487382584642
6,7,7,2,1,2,7,1487382588239,-1,1487382587709
6,7,8,2,1,2,7,1487382591306,-1,1487382590775
6,7,9,2,1,0,5,1487382594306,-1,1487382593809
6,7,10,2,0,1,7,1487382597373,-1,1487382596843
6,7,11,2,1,0,0,1487382600406,-1,1487382599876
6,7,12,2,0,1,7,1487382603440,-1,1487382602909
6,7,13,2,1,0,1,1487382606473,-1,1487382605943
6,7,14,2,1,0,6,1487382609474,-1,1487382608976
6,7,15,2,1,0,5,1487382612541,-1,1487382612010
6,7,16,2,0,1,6,1487382615574,-1,1487382615044
6,7,17,2,1,2,6,1487382618608,-1,1487382618077
6,7,18,2,1,0,0,1487382621674,-1,1487382621144
6,7,19,2,1,0,2,1487382624708,-1,1487382624177
6,7,20,2,0,1,0,1487382627742,-1,1487382627244
6,7,21,2,1,1,2,1487382630808,1487382632176,1487382630277
6,7,22,2,0,1,0,1487382633842,-1,1487382633311
6,8,1,3,0,3,6,1487382638709,-1,1487382638176
6,8,2,3,0,3,0,1487382641776,-1,1487382641245
6,8,3,3,0,3,1,1487382644843,1487382646543,1487382644313
6,8,4,3,1,0,1,1487382647876,-1,1487382647378
6,8,5,3,0,1,0,1487382650943,-1,1487382650412
6,8,6,3,0,1,1,1487382653943,-1,1487382653445
6,8,7,3,1,2,0,1487382656977,-1,1487382656479
6,8,8,3,0,1,0,1487382660012,-1,1487382659512
6,8,9,3,0,1,1,1487382663077,-1,1487382662546
6,8,10,3,0,1,0,1487382666110,-1,1487382665580
6,8,11,3,1,1,0,1487382669177,1487382670444,1487382668646
6,8,12,3,1,0,3,1487382672211,-1,1487382671680
6,8,13,3,1,2,1,1487382675244,-1,1487382674747
6,8,14,3,1,2,3,1487382678311,-1,1487382677781
6,8,15,3,1,2,1,1487382681345,-1,1487382680847
6,8,16,3,1,0,4,1487382684411,-1,1487382683881
6,8,17,3,1,0,6,1487382687445,-1,1487382686914
6,8,18,3,1,0,7,1487382690512,-1,1487382689981
6,8,19,3,1,0,0,1487382693545,-1,1487382693015
6,8,20,3,1,0,0,1487382696579,-1,1487382696048
6,8,21,3,1,2,6,1487382699612,-1,1487382699082
6,8,22,3,1,2,7,1487382702646,-1,1487382702115
6,8,23,3,0,0,7,1487382705713,1487382707046,1487382705182
