%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1487381676498,1487381683596
1,1,34,34,0,1487381684598,1487381690797
2,0,15,15,0,1487381696266,1487381702964
2,1,73,73,0,1487381703966,1487381710364
2,2,164,164,0,1487381711333,1487381719631
2,3,705,705,0,1487381720633,1487381728798
2,4,2173,2173,0,1487381729767,1487381740233
2,5,1504,1504,0,1487381741202,1487381752467
2,6,42350,42350,0,1487381753469,1487381766035
2,7,24061,24061,0,1487381767037,1487381781135
2,8,061743,061743,0,1487381782137,1487381795869
2,9,625037,605234,0,1487381796871,1487381812570
2,10,7152305,1752035,0,1487381813572,1487381845472
2,11,3157264,312564,0,1487381846474,1487381872873
3,0,60,06,0,1487381880142,1487381887308
3,1,24,42,0,1487381888310,1487381894442
4,0,25,52,0,1487381897944,1487381903875
4,1,63,36,1,1487381904844,1487381917643
4,2,574,475,0,1487381918646,1487381927610
4,3,207,702,0,1487381928578,1487381937110
4,4,7305,5037,0,1487381938112,1487381948178
4,5,4130,0314,0,1487381949146,1487381959878
4,6,35741,14753,0,1487381960880,1487381973346
4,7,70526,62507,0,1487381974347,1487381988313
4,8,607251,152706,0,1487381989282,1487382003848
4,9,270643,346207,0,1487382004816,1487382019849
4,10,0416327,7236140,0,1487382020817,1487382036683
4,11,5632041,14036752,0,1487382037685,1487382056901
4,12,48256132,2316045,0,1487382057902,1487382075935
4,13,04523765,5367024,0,1487382076938,1487382099036
