%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,31,15,2,0,15,hfceacnfajbbcobdlnkaabficlacclbbljaihonkebaacdkm,001011001001101000011100101100110000000000000000
1,37,16,1,0,21,ecblhbanhacngfahfbgcikcebeabogaaljdmbccchdhlbbha,011001100110001001010010101000110000110000000000
2,24,9,2,0,14,bdnfbjajepcnacjcdiabbfmdcafhbbajecfacefikcboiabd,100010100010010100101000100000000000000000000000
3,34,15,0,0,20,eophbcojalpcdhnabbcnpanbmajcjnjaakbmlebomccbcica,000011001001000111100101010100011010000000000000
4,36,18,0,0,19,aacchnbibpcimakpgkbbcaocanfbfmalcnnibalkkibkbgci,111100101010010000111101100100101000100000000000
5,27,17,0,0,11,koamdgcbcjbaibacagbdcdnbacbcddlaklhjpcalkgdhhbbm,001000111011011110101001111100000000000000000000
6,27,14,0,0,14,aagcgblpbcechkhbalbcoghkanbbmmmlcoaaekcpjeccfaga,110101001101000110110000101100000000000000000000
7,33,15,3,0,16,bheplakebcagmpccdabcabkfdbamaoclcbencegmflagbiic,100001001110001101000100011010101100000000000000
8,27,14,0,1,13,cbcehjkabpideacbiocabedoaeacdfboabcpancgilfgcmbi,111100011000011100111000101100000000000000000000
9,30,13,2,0,16,kegoaecbmhlapjbcgeagpbcchabcadabebmfnglocaboancm,000010110001001100000111011010100000000000000000
10,32,13,1,0,19,pceafcbajgbkkaadbeblimhdckcjbkipbdpccadoadcbjeab,010101100010011010100000101010001000000000000000
11,32,13,1,0,19,bmapkjkabocelceabdeecjpgajbfdfcabeadbmccbadlaclg,101000011010010110001000101000011000000000000000
