%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486167996866,1486168003632
1,1,34,34,0,1486168004633,1486168011131
2,0,15,15,0,1486168016633,1486168022799
2,1,73,73,0,1486168023800,1486168029466
2,2,164,164,0,1486168030434,1486168038166
2,3,705,705,0,1486168039135,1486168047100
2,4,2173,2173,1,1486168048102,1486168060601
2,5,1504,1504,0,1486168061602,1486168071134
2,6,42350,42350,0,1486168072103,1486168083202
2,7,24061,24061,0,1486168084170,1486168095403
2,8,061743,061743,0,1486168096371,1486168109870
2,9,625037,625038,1,1486168110872,1486168129204
2,10,7152305,7152305,0,1486168130206,1486168146739
2,11,3157264,3175624,0,1486168147741,1486168166740
2,12,64527631,64527316,0,1486168167742,1486168186058
2,13,05631742,05631642,2,1486168187060,1486168212259
3,0,60,06,0,1486168222862,1486168229827
3,1,24,42,0,1486168230796,1486168237028
4,0,25,52,0,1486168241063,1486168247594
4,1,63,36,0,1486168248563,1486168254595
4,2,574,475,0,1486168255597,1486168263795
4,3,207,702,0,1486168264764,1486168272863
4,4,7305,5037,0,1486168273864,1486168283896
4,5,4130,0314,0,1486168284898,1486168297931
4,6,35741,14753,0,1486168298933,1486168312766
4,7,70526,62507,0,1486168313767,1486168333133
4,8,607251,152706,0,1486168334101,1486168351468
4,9,270643,346072,0,1486168352436,1486168371535
4,10,0416327,7236104,0,1486168372504,1486168397703
4,11,5632041,1406352,0,1486168398705,1486168420204
