%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,,64,1486155028363,1486155031364,1486155054225
1,G4,G,4,1486155057248,1486155060249,1486155075649
2,3W5,W,35,1486155077182,1486155081685,1486155087520
3,T7L,LT,7,1486155089050,1486155093551,1486155107644
4,1JA,AJ,1,1486155109168,1486155113669,1486155120429
0,F4,F,4,1486155127252,1486155130254,1486155135705
1,1J,J,1,1486155137237,1486155140237,1486155144462
2,A7,A,7,1486155145986,1486155148988,1486155155426
3,L1H,HL,1,1486155156954,1486155161455,1486155175697
4,T2S,ST,2,1486155177222,1486155181723,1486155190039
5,K43,K,34,1486155191572,1486155196074,1486155204583
6,R5B2,BR,25,1486155206106,1486155212108,1486155224574
7,N3L9,LN,39,1486155226107,1486155232110,1486155255418
8,5V8P,PV,58,1486155256943,1486155262944,1486155297273
9,4M7S1,MS,147,1486155298795,1486155306297,1486155323596
10,L3E1D,DEL,13,1486155325130,1486155332631,1486155346770
11,9M6K2,KM,269,1486155348298,1486155355800,1486155370460
12,D1B5R9,BDR,159,1486155371982,1486155380984,1486155400671
13,G9T2A5,AGT,259,1486155402201,1486155411203,1486155439878
14,3W5A1G,AGW,315,1486155441403,1486155450405,1486155521884
15,B6H7A5K,BFK,567,1486155523408,1486155533910,1486155606501
16,8H4R1C2,GHK,345,1486155608029,1486155618531,1486155661849
17,C7B5N9Y,BCNY,579,1486155663383,1486155673884,1486155706097
18,3Q8D4R6F,DFQR,3468,1486155707618,1486155719620,1486155758039
19,P2H8F4Y6,FHPY,2468,1486155759571,1486155771573,1486155810530
20,7D9T3E4S,DEST,3479,1486155812057,1486155824060,1486155862627
