%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,31,14,1,0,17,baccaofihbmidpebjcgacegiablmacpcbaolmjhbacblanim,111110000100000101011000110010010000000000000000
1,38,14,4,0,21,dkaaidhlcbnncbfkgacfmcodhbebamabgcbhhcacandkkcpb,001100001000110001100100010100110010001000000000
2,29,13,3,0,14,cobbhmjaancbjkncacabjmdacknbhcaofbkhmfapheekbhba,101100001001000111110000100101000000000000000000
3,43,18,4,0,22,icblpaahimkfcejdbbdhoaacfcgbceboehafbackabbcphfj,011001100000100011000110010110100010101010010000
4,43,19,3,0,22,obclecphabdajkabbficlfmcjnafbmcabcahbjdaaimcgeoo,010001001101001110010001001010010110100110010000
5,44,19,3,0,23,chmipbmpcankhbaadkejchmagbbcknacjeabcbmbbpclakon,100001001100011100001001011100010010010110101000
6,43,19,2,0,23,fceombbapfomifacacpcgoblbnabjgbecacmacleojabphla,010001110000000111010010101100101110110000010000
7,39,17,1,0,22,baachpplcbhkcbocjhmahpbjkaapbklpgibpfcacikcacebk,111100001100110100010010001010000010011100000000
8,35,18,0,0,18,bcdbcpehoaaojigkcpbaciafnobfaphbcbacleebacjhhicp,110110000110000010111010001010011111000000000000
9,40,18,1,0,22,iacgoalcbgbbaofcbllagmnmpjckpebobahchgacbjcaobme,011000011011100110010000001000101101001110000000
10,43,21,0,0,23,mcaakbbcdlecgbapcbhamkicmceioalbgjdabcpbimiamipa,011101110001011011010001010001010001110100010000
11,46,20,2,0,25,lbiabjmiamcccghbmacdgbabkimdcbafpmcaihidgkbbkcah,010110001011100101100101000011100001000000110110
