%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486165456898,1486165459899,1486165467646
1,G4,G,4,1486165469165,1486165472167,1486165476619
2,3W5,W,35,1486165478149,1486165482651,1486165487429
3,T7L,LT,7,1486165488950,1486165493451,1486165499664
4,1JA,JL,1,1486165501184,1486165505686,1486165510907
0,F4,F,4,1486165518768,1486165521771,1486165525799
1,1J,J,1,1486165527319,1486165530320,1486165534269
2,A7,A,7,1486165535803,1486165538804,1486165545788
3,L1H,HL,1,1486165547320,1486165551821,1486165556207
4,T2S,ST,2,1486165557738,1486165562239,1486165567087
5,K43,K,34,1486165568604,1486165573106,1486165576748
6,R5B2,RB,25,1486165578271,1486165584273,1486165588806
7,N3L9,LN,39,1486165590339,1486165596341,1486165601398
8,5V8P,PV,58,1486165602923,1486165608925,1486165614949
9,4M7S1,MS,147,1486165616474,1486165623976,1486165630214
10,L3E1D,DEL,13,1486165631741,1486165639243,1486165644284
11,9M6K2,KM,269,1486165645809,1486165653311,1486165659131
12,D1B5R9,BDR,159,1486165660659,1486165669662,1486165675827
13,G9T2A5,AGT,259,1486165677360,1486165686362,1486165699233
14,3W5A1G,AGW,135,1486165700762,1486165709764,1486165715279
15,B6H7A5K,ABHK,567,1486165716779,1486165727281,1486165734457
16,8H4R1C2,CHR,1248,1486165735981,1486165746482,1486165766499
17,C7B5N9Y,BCNY,579,1486165767999,1486165778501,1486165787457
18,3Q8D4R6F,DFQR,3468,1486165788983,1486165800985,1486165813559
19,P2H8F4Y6,FHPY,2468,1486165815085,1486165827087,1486165837114
20,7D9T3E4S,DEST,3479,1486165838636,1486165850638,1486165859393
