% Tunnel Log: 
% debug seed: 1415209327
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Color/Sound, 1=Shape/Sound, 2=Sound, 3=Holdout, 4=Recess }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1, inf }
% Pod Shape { -1, inf }
% Pod Sound { -1, inf }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
0 0 0 0 2 1 1 0 0 0 0 1 315 -1 0 4 -1 -1 -1 -1 -1 -1 -1 65732 0 10 40 22 22 8 0 3
0 0 0 0 4 1 1 0 0 0 0 1 315 -1 0 4 4 1 5 1 0 1 0 66199 0 10 40 22 22 5 3 3
0 0 0 0 2 1 1 0 0 0 0 1 320 0 0 4 -1 -1 -1 -1 -1 -1 -1 66665 0 10 40 22 22 5 3 3
0 0 0 0 2 1 1 0 0 0 0 1 323 0 0 4 -1 -1 -1 -1 -1 -1 -1 67099 0 10 40 22 22 5 3 3
0 0 0 0 2 1 1 0 0 0 0 1 329 1 30 4 -1 -1 -1 -1 -1 -1 -1 67565 0 10 40 22.5 22.5 5 3 3
0 0 0 0 3 1 1 0 0 0 0 1 330 0 0 4 4 1 5 1 1 1 1 67999 0 10 40 22.5 22.5 5 0 3
0 0 0 0 2 1 1 0 0 0 0 1 330 0 0 4 -1 -1 -1 -1 -1 -1 -1 68465 0 10 40 22.5 22.5 5 0 3
0 0 0 1 2 1 1 1 0 0 0 1 335 1 0 4 -1 -1 -1 -1 -1 -1 -1 68899 0 10 40 22.5 22.5 5 0 5
0 0 0 1 1 2 1 1 0 0 0 1 352 0 0 5 -1 -1 -1 -1 -1 -1 -1 69332 0 10 40 22.5 22.5 5 0 5
0 0 0 1 1 4 1 1 0 0 0 1 353 0 0 5 5 3 5 3 0 1 0 69799 0 10 40 22.5 22.5 4 1 5
0 0 0 1 1 2 1 1 0 0 0 1 353 0 0 5 -1 -1 -1 -1 -1 -1 -1 70232 0 10 40 22.5 22.5 4 1 5
0 0 0 1 1 2 1 1 0 0 0 1 341 0 0 5 -1 -1 -1 -1 -1 -1 -1 70665 0 10 40 22.5 22.5 4 1 5
0 0 0 1 2 1 1 1 0 0 0 1 324 0 0 4 -1 -1 -1 -1 -1 -1 -1 71132 0 10 40 23 23 4 1 5
0 0 0 1 3 1 1 1 0 0 0 1 331 0 0 4 4 3 5 3 1 1 1 71565 0 10 40 23 23 3 1 5
0 0 0 1 1 2 1 1 0 0 0 1 339 1 0 5 -1 -1 -1 -1 -1 -1 -1 71999 0 10 40 23 23 3 1 5
0 0 0 1 2 1 1 1 0 0 0 1 330 -1 0 4 -1 -1 -1 -1 -1 -1 -1 72432 0 10 40 23 23 3 1 5
0 0 0 1 2 1 1 1 0 0 0 1 319 0 0 4 -1 -1 -1 -1 -1 -1 -1 72865 0 10 40 23 23 3 1 5
0 0 0 1 4 1 1 1 0 0 0 1 319 0 0 4 4 2 5 2 0 1 0 73299 0 10 40 23 23 8 0 5
0 0 0 1 2 1 1 1 0 0 0 1 329 1 0 4 -1 -1 -1 -1 -1 -1 -1 73732 0 10 40 23 23 5 3 5
0 0 0 1 1 2 1 1 0 0 0 1 347 0 0 5 -1 -1 -1 -1 -1 -1 -1 74165 0 10 40 23 23 5 3 5
0 0 0 1 1 2 1 1 0 0 0 1 357 0 0 5 -1 -1 -1 -1 -1 -1 -1 74599 0 10 40 23 23 5 3 5
0 0 0 1 1 4 1 1 0 0 0 1 6 0 0 5 5 1 5 1 0 1 0 75032 0 10 40 23 23 5 3 5
0 0 0 1 1 2 1 1 0 0 0 1 6 0 0 5 -1 -1 -1 -1 -1 -1 -1 75465 0 10 40 23 23 5 0 5
0 0 0 1 1 1 2 1 0 0 0 1 30 1 32 6 -1 -1 -1 -1 -1 -1 -1 75899 0 10 40 23 23 5 0 5
0 0 0 1 1 1 2 1 0 0 0 1 40 0 0 6 -1 -1 -1 -1 -1 -1 -1 76332 0 10 40 23 23 5 0 5
0 0 0 1 1 1 4 1 0 0 0 1 41 0 0 6 6 2 5 2 0 1 0 76765 0 10 40 23 23 5 0 5
0 0 0 1 1 1 2 1 0 0 0 1 28 0 0 6 -1 -1 -1 -1 -1 -1 -1 77199 0 10 40 23 23 4 1 5
0 0 0 1 1 2 1 1 0 0 0 1 4 0 0 5 -1 -1 -1 -1 -1 -1 -1 77632 0 10 40 23 23 4 1 5
0 0 0 1 1 2 1 1 0 0 0 1 4 0 0 5 -1 -1 -1 -1 -1 -1 -1 78065 0 10 40 23 23 4 1 5
0 0 0 1 1 4 1 1 0 0 0 1 4 0 0 5 5 3 5 3 0 1 0 78499 0 10 40 23 23 4 1 5
0 0 0 1 1 2 1 1 0 0 0 1 4 0 0 5 -1 -1 -1 -1 -1 -1 -1 78932 0 10 40 23 23 3 1 5
0 0 0 1 1 2 1 1 0 0 0 1 -3 0 0 5 -1 -1 -1 -1 -1 -1 -1 79365 0 10 40 23 23 3 1 5
0 0 0 1 1 2 1 1 0 0 0 1 -10 0 0 5 -1 -1 -1 -1 -1 -1 -1 79799 0 10 40 23 23 3 1 5
0 0 0 1 1 4 1 1 0 0 0 1 -1 0 0 5 5 2 5 2 0 1 0 80232 0 10 40 23 23 3 1 5
0 0 0 1 1 2 1 1 0 0 0 1 -3 0 0 5 -1 -1 -1 -1 -1 -1 -1 80665 0 10 40 23 23 8 0 5
0 0 0 1 1 2 1 1 0 0 0 1 12 1 34 5 -1 -1 -1 -1 -1 -1 -1 81099 0 10 40 23 23 5 3 5
0 0 0 1 1 2 1 1 0 0 0 1 8 0 22 5 -1 -1 -1 -1 -1 -1 -1 81532 0 10 40 23.5 23.5 5 3 5
0 0 0 1 1 2 3 1 0 0 0 1 8 0 0 5 6 2 5 2 1 1 1 81965 0 10 40 23.5 23.5 5 3 5
0 0 0 1 1 2 1 1 0 0 0 1 8 0 0 5 -1 -1 -1 -1 -1 -1 -1 82399 0 10 40 23.5 23.5 5 3 5
0 0 0 1 1 1 2 1 0 0 0 1 23 1 0 6 -1 -1 -1 -1 -1 -1 -1 82832 0 10 40 23.5 23.5 5 0 5
0 0 0 1 1 1 2 1 0 0 0 1 34 0 0 6 -1 -1 -1 -1 -1 -1 -1 83232 0 10 40 23.5 23.5 5 0 5
0 0 0 1 1 1 4 1 0 0 0 1 35 0 0 6 6 1 5 1 0 1 0 83665 0 10 40 23.5 23.5 5 0 5
0 0 0 1 1 1 2 1 0 0 0 1 35 0 0 6 -1 -1 -1 -1 -1 -1 -1 84099 0 10 40 23.5 23.5 5 0 5
0 0 0 1 1 1 2 1 0 0 0 1 35 0 0 6 -1 -1 -1 -1 -1 -1 -1 84532 0 10 40 23.5 23.5 4 1 5
0 0 0 1 1 2 1 1 0 0 0 1 11 0 0 5 -1 -1 -1 -1 -1 -1 -1 84932 0 10 40 23.5 23.5 4 1 5
