%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 7
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,0,0,1488406464588,1488406465421
1,1,1,0,0,1488406466389,1488406467054
1,2,1,1,1,1488406468055,1488406468755
1,3,1,1,1,1488406469722,1488406470421
2,0,1,1,1,1488406472355,1488406473021
2,1,1,1,1,1488406474022,1488406474755
2,2,1,1,1,1488406475755,1488406476422
2,3,1,0,0,1488406477389,1488406478222
2,4,1,0,0,1488406479222,1488406479889
2,5,1,1,1,1488406480889,1488406481556
2,6,1,0,0,1488406482522,1488406483255
2,7,1,1,1,1488406484256,1488406486189
2,8,1,0,0,1488406487189,1488406487856
2,9,1,1,1,1488406488856,1488406489456
2,10,1,0,0,1488406490456,1488406491056
2,11,1,0,0,1488406492056,1488406492856
3,0,0,1,0,1488406499890,1488406500723
3,1,0,0,1,1488406501723,1488406502390
3,2,0,1,0,1488406503390,1488406504057
3,3,0,0,1,1488406505057,1488406505790
4,0,0,1,0,1488406508107,1488406508974
4,1,0,1,0,1488406509974,1488406510673
4,2,0,0,1,1488406511674,1488406513307
4,3,0,0,1,1488406514307,1488406515040
4,4,0,0,1,1488406516041,1488406516740
4,5,0,1,0,1488406517708,1488406518541
4,6,0,1,0,1488406519541,1488406520641
4,7,0,1,0,1488406521641,1488406522307
4,8,0,0,1,1488406523308,1488406524108
4,9,0,0,1,1488406525108,1488406525841
4,10,0,1,0,1488406526841,1488406527674
4,11,0,0,1,1488406528643,1488406529408
5,0,1,0,0,1488406532092,1488406532991
5,1,0,0,1,1488406533959,1488406534892
5,2,1,1,1,1488406535892,1488406536825
5,3,0,1,0,1488406537825,1488406538958
6,0,1,0,0,1488406541260,1488406542325
6,1,0,1,0,1488406543292,1488406544260
6,2,0,0,1,1488406545226,1488406546393
6,3,1,0,0,1488406547392,1488406548359
6,4,0,0,1,1488406549359,1488406550225
6,5,0,1,0,1488406551226,1488406552260
6,6,1,1,1,1488406553261,1488406554293
6,7,0,0,1,1488406555293,1488406556426
6,8,0,0,1,1488406557426,1488406558760
6,9,1,0,0,1488406559726,1488406560727
6,10,0,1,0,1488406561726,1488406562626
6,11,0,0,1,1488406563627,1488406564427
6,12,0,0,1,1488406565427,1488406566160
6,13,1,0,0,1488406567127,1488406568094
6,14,0,1,0,1488406569094,1488406569927
6,15,0,1,0,1488406570927,1488406572327
6,16,0,0,1,1488406573328,1488406574127
6,17,1,1,1,1488406575127,1488406576161
6,18,1,1,1,1488406577161,1488406578027
6,19,1,1,1,1488406579028,1488406580728
6,20,0,0,1,1488406581728,1488406583194
6,21,1,1,1,1488406584161,1488406585061
6,22,1,1,1,1488406586028,1488406586761
6,23,0,1,0,1488406587761,1488406588728
6,24,0,0,1,1488406589695,1488406590695
6,25,0,0,1,1488406591695,1488406592528
6,26,1,0,0,1488406593529,1488406594528
6,27,1,1,1,1488406595529,1488406596329
6,28,1,0,0,1488406597329,1488406598195
6,29,0,1,0,1488406599195,1488406600162
6,30,1,0,0,1488406601162,1488406602029
6,31,0,0,1,1488406603029,1488406603962
6,32,1,0,0,1488406604962,1488406605962
6,33,0,1,0,1488406606962,1488406607862
6,34,1,1,1,1488406608829,1488406609696
6,35,0,0,1,1488406610663,1488406611462
6,36,1,0,0,1488406612430,1488406613329
6,37,1,1,1,1488406614330,1488406616063
6,38,0,1,0,1488406617064,1488406618163
6,39,1,1,1,1488406619164,1488406620031
6,40,1,0,0,1488406621030,1488406621863
6,41,1,1,1,1488406622863,1488406624397
6,42,0,1,0,1488406625397,1488406626263
6,43,1,0,0,1488406627231,1488406628163
6,44,0,1,0,1488406629165,1488406630297
6,45,0,1,0,1488406631298,1488406632132
6,46,1,0,0,1488406633132,1488406634030
6,47,1,1,1,1488406635031,1488406635931
