%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1488321608104,1488321616901
1,1,34,34,0,1488321617872,1488321625035
2,0,52,52,0,1488321634004,1488321641303
2,1,36,36,0,1488321642272,1488321649669
2,2,368,368,0,1488321650639,1488321659237
2,3,208,208,0,1488321660206,1488321668204
2,4,2306,2306,0,1488321669173,1488321679838
2,5,5047,5047,0,1488321680807,1488321691172
2,6,41075,41075,0,1488321692175,1488321704906
2,7,31620,31620,0,1488321705875,1488321719474
2,8,281376,821367,1,1488321720442,1488321753692
2,9,816508,716508,0,1488321754695,1488321774793
3,0,60,06,0,1488321787330,1488321795261
3,1,24,42,0,1488321796231,1488321802661
4,0,51,15,0,1488321809032,1488321816096
4,1,37,73,0,1488321817098,1488321823629
4,2,630,036,0,1488321824632,1488321833496
4,3,580,085,0,1488321834466,1488321842731
4,4,5683,3865,0,1488321843699,1488321857731
4,5,2841,1482,0,1488321858700,1488321870198
4,6,47812,21874,0,1488321871169,1488321884799
4,7,03415,51430,0,1488321885768,1488321899834
4,8,507613,3167540,0,1488321900836,1488321919235
4,9,073280,082367,0,1488321920204,1488321944436
