%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486174870777,1486174873746,1486174892416
1,G4,G,4,1486174893929,1486174896930,1486174902099
2,3W5,W,35,1486174903629,1486174908131,1486174913896
3,T7L,LT,7,1486174915430,1486174919932,1486174936659
4,1JA,AJ,1,1486174938181,1486174942683,1486174949830
0,L2,L,2,1486174955382,1486174958384,1486174964183
1,6P,P,6,1486174965716,1486174968718,1486174975520
2,B5,B,5,1486174977050,1486174980052,1486174986567
3,F7L,FL,7,1486174988067,1486174992569,1486175012235
4,R4D,DR,4,1486175013769,1486175018270,1486175028022
5,H18,H,18,1486175029549,1486175034043,1486175041491
6,T9A3,AT,39,1486175043009,1486175049012,1486175068078
7,V1J5,JV,15,1486175069611,1486175075612,1486175089752
8,7N4L,LN,47,1486175091279,1486175097281,1486175115566
9,8D6G1,ADG,16,1486175117097,1486175124598,1486175162783
10,K2C7S,CKS,267,1486175164317,1486175171818,1486175215169
11,5P3Y9,PY,359,1486175216702,1486175224204,1486175256338
12,M4E7Q2,,47,1486175257871,1486175266873,1486175309908
13,W8H5F3,WH,5387,1486175311441,1486175320443,1486175360231
14,6G9A2S,AST,269,1486175361761,1486175370762,1486175415557
