%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486153867382,1486153874512
1,1,34,34,0,1486153875481,1486153882213
2,0,52,52,0,1486153888681,1486153895980
2,1,36,36,0,1486153896948,1486153903680
2,2,368,368,0,1486153904683,1486153913615
2,3,208,208,0,1486153914617,1486153923615
2,4,2306,2306,0,1486153924616,1486153938516
2,5,5047,5047,0,1486153939484,1486153951350
2,6,41075,41075,0,1486153952352,1486153969152
2,7,31620,31602,0,1486153970152,1486153983251
2,8,281376,,0,1486153984253,1486153995919
2,9,816508,503761,0,1486153996920,1486154014253
3,0,60,06,0,1486154029389,1486154036488
3,1,24,42,0,1486154037490,1486154043422
4,0,51,15,0,1486154048024,1486154055922
4,1,37,73,0,1486154056924,1486154063989
4,2,630,036,0,1486154064991,1486154074324
4,3,580,085,0,1486154075325,1486154084291
4,4,5683,3865,0,1486154085292,1486154098558
4,5,2841,1482,0,1486154099560,1486154110626
4,6,47812,21784,0,1486154111628,1486154125193
4,7,03415,51340,0,1486154126194,1486154138860
