%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1487792119277,1487792125475
1,1,34,34,0,1487792126477,1487792132675
2,0,15,15,0,1487792139978,1487792146043
2,1,73,73,0,1487792147044,1487792153743
2,2,164,164,0,1487792154745,1487792162577
2,3,705,705,0,1487792163579,1487792171944
2,4,2173,2173,0,1487792172946,1487792182712
2,5,1504,1504,1,1487792183713,1487792198014
2,6,42350,42350,0,1487792199014,1487792210880
2,7,24061,24061,0,1487792211882,1487792223247
2,8,061743,061743,0,1487792224249,1487792240015
2,9,625037,625037,0,1487792241016,1487792254982
2,10,7152305,7152305,0,1487792255984,1487792271483
2,11,3157264,3157264,1,1487792272485,1487792293084
2,12,64527631,64257613,0,1487792294086,1487792313452
2,13,05631742,05631704,0,1487792314454,1487792332587
3,0,60,06,0,1487792338389,1487792344687
3,1,24,42,0,1487792345689,1487792351688
4,0,25,52,0,1487792354523,1487792360655
4,1,63,36,0,1487792361656,1487792368223
4,2,574,475,0,1487792369223,1487792377123
4,3,207,702,0,1487792378124,1487792386323
4,4,7305,5037,0,1487792387326,1487792397090
4,5,4130,0314,0,1487792398092,1487792408157
4,6,35741,14753,0,1487792409159,1487792421558
4,7,70526,62507,0,1487792422560,1487792434726
4,8,607251,152706,0,1487792435728,1487792449160
4,9,270643,346072,0,1487792450161,1487792463494
4,10,0416327,7236140,0,1487792464496,1487792480061
4,11,5632041,1402365,0,1487792481064,1487792496430
4,12,48256132,21632854,1,1487792497397,1487792524897
4,13,04523765,56732540,0,1487792525899,1487792547065
4,14,164751473,374154631,0,1487792548070,1487792569400
4,15,451387620,026781345,1,1487792570402,1487792594202
