Block number,Accuracy
1,0.864968731149
2,0.861996746833
3,0.853109134338
5,0.856991440528
6,0.868090708042
7,0.843923584015
8,0.850989904705
9,0.857110857907
10,0.846362220243
11,0.87255323306
12,0.854605829264
14,0.853708189378
15,0.856801188807
17,0.847208093403
18,0.841973279966
20,0.8939312
21,0.851016823364
23,0.856265372519
24,0.85533901753
26,0.846318766413
28,0.862901573814
29,0.868712866296
30,0.86574828425
33,0.859602392422
35,0.862729099004
37,0.868821789122
39,0.853665083248
40,0.865284469006
41,0.88973565082
43,0.887392685625
44,0.846439835511
45,0.86574828425
46,0.860590598879
48,0.846582265119
50,0.846311519271
52,0.845768429451
54,0.871530811937
56,0.851526583124
58,0.866065605493
59,0.849589859184
61,0.849183617929
63,0.877081531805
65,0.884940640594
66,0.861309576011
67,0.880366632582
68,0.86574828425
69,0.872860900688
71,0.855746454932
72,0.874591088427
73,0.877816076571
74,0.863719414571
78,0.884386197562
80,0.860021742024
82,0.864873155767
84,0.86480809554
86,0.872179008322
88,0.849046769364
89,0.847864172495
91,0.868599935361
93,0.889139514247
95,0.859387561081
97,0.867609619795
98,0.861309576011
99,0.863940064139
101,0.860205966154
103,0.858660247131
104,0.860000939042
105,0.874591088427
106,0.873203176882
108,0.860740869217
110,0.853253078715
112,0.851020973358
114,0.848720765244
115,0.874591088427
116,0.848120546983
118,0.844779826041
119,0.84920538347
121,0.859605647913
123,0.856581745475
125,0.856814144363
126,0.86574828425
127,0.846809946815
129,0.863276903807
131,0.873075069039
133,0.852340418792
134,0.849519116933
136,0.866207278886
138,0.863654354344
140,0.859513757111
141,0.874127273184
142,0.858724864084
144,0.850864329401
146,0.888534025611
147,0.86574828425
148,0.847132595464
149,0.868489825122
150,0.865284469006
151,0.872049579129
152,0.86300631497
153,0.889309524028
154,0.88083506731
155,0.863576984963
156,0.858453811912
157,0.869603764274
158,0.842621084976
159,0.854746581996
160,0.861103948393
161,0.866589543079
162,0.846582265119
163,0.845365368891
164,0.855639600183
165,0.851526583124
166,0.853678234058
167,0.85781883129
168,0.85610878451
169,0.85679334138
170,0.841394781439
171,0.85845456151
172,0.843917822231
173,0.867580420689
174,0.84217816918
175,0.846154875314
176,0.847971989803
177,0.865194541403
179,0.858710036339
180,0.84998830126
181,0.84052600044
182,0.854270365542
183,0.844821215531
184,0.854412795149
185,0.855277270605
186,0.87376737014
187,0.884206835717
188,0.848976027113
189,0.85346467462
190,0.85890568928
191,0.859557926781
192,0.859224791826
193,0.856050404974
194,0.861573074717
195,0.859557926781
196,0.868512712639
197,0.836849218451
199,0.85603141513
200,0.851603952504
201,0.872690528372
202,0.874838487158
203,0.862230572752
204,0.873525167023
205,0.872164636962
206,0.859884580518
207,0.878285260898
208,0.86630639602
209,0.853445183278
210,0.873387401012
211,0.868828566312
213,0.855239882608
214,0.847082505801
215,0.857427166404
216,0.848862232293
217,0.87821487505
218,0.858972885427
219,0.858653469941
221,0.873425089463
222,0.85718415774
223,0.857334024507
224,0.862493673077
225,0.871303178836
226,0.850737076701
227,0.867551877958
228,0.873439303813
229,0.856244882477
230,0.846370669214
231,0.860833202545
232,0.86408078159
233,0.858702296591
234,0.839984815815
235,0.84989671753
236,0.844602379101
237,0.867910952046
238,0.872290980294
239,0.881542791211
240,0.84933141662
241,0.86587274244
242,0.854278109772
243,0.8472596398
244,0.85146332711
245,0.866362966901
246,0.877759056547
247,0.885738340391
248,0.845221875743
249,0.859252163601
250,0.860105888595
251,0.865393449834
252,0.846903650755
253,0.868869510254
255,0.838359920142
256,0.88209627912
257,0.849633218823
258,0.837391345713
259,0.871151603507
260,0.853737384001
261,0.860990003513
262,0.888461734568
263,0.864609657061
264,0.861838502868
265,0.853835093029
266,0.861667841196
267,0.858246970693
268,0.867367653828
269,0.875434623731
270,0.866470437514
271,0.873673110807
272,0.869462597679
273,0.844779826041
274,0.863610189157
276,0.845854951169
277,0.847687029605
278,0.848996922153
279,0.850215631519
280,0.84831377339
281,0.859243318335
282,0.867033866981
283,0.855779659126
284,0.855363133815
285,0.871720310301
286,0.875434623731
287,0.880696264764
288,0.868869510254
289,0.864668790678
290,0.848985022439
291,0.864053201418
292,0.864967323042
293,0.859500606302
294,0.868712866296
295,0.858424113583
296,0.859423236921
297,0.846433058321
298,0.867908838453
