Block number,Accuracy
1,0.866311922115
2,0.851652535933
3,0.860585181201
4,0.844572428263
5,0.847060294712
6,0.85195014985
7,0.842678556522
8,0.865437915476
9,0.858702446651
10,0.859820928398
11,0.839492264801
12,0.841145497082
15,0.853321743515
16,0.857988841071
17,0.850657802124
19,0.852275358565
20,0.846141724505
21,0.865720103572
22,0.834975437583
23,0.846903650755
24,0.855562980401
25,0.841835585201
26,0.850864329401
27,0.865630984872
28,0.850778770241
29,0.837560605895
30,0.848619066618
31,0.859243318335
32,0.847597735582
33,0.846554893344
34,0.864403430239
35,0.860529534646
36,0.840981500269
37,0.848293375439
38,0.840333764945
39,0.860021742024
40,0.857611616517
41,0.851223219275
42,0.860895698052
43,0.888618172181
44,0.835798585605
45,0.849710543026
46,0.860229332841
47,0.864403879383
48,0.846943785414
49,0.860397455012
50,0.847150005619
51,0.8713859173
52,0.855746454932
53,0.850657802124
54,0.85808891863
55,0.862119504297
56,0.842354264688
57,0.857349797023
58,0.856481009408
59,0.858387682275
60,0.84110361125
61,0.847230304492
62,0.874252176923
63,0.84588948092
64,0.864627410897
65,0.853766568914
66,0.882589279277
67,0.856587899309
69,0.831015197445
70,0.846490374317
71,0.856685990289
72,0.854549530747
73,0.84794553787
74,0.850355301588
75,0.837571462635
76,0.844945119377
77,0.861846383301
78,0.863597787946
79,0.86451119594
80,0.852923057471
81,0.861962209195
82,0.828682926565
83,0.855610342027
84,0.856621873446
85,0.85136618528
86,0.865278275309
87,0.873439303813
88,0.844314405855
89,0.850411867986
90,0.84071937029
91,0.863128960022
92,0.83664353283
93,0.854349640118
94,0.851034691365
95,0.878941342683
96,0.848507811246
97,0.851966464213
98,0.846142223808
99,0.858212822476
100,0.850094606072
101,0.865452129825
102,0.866440336282
103,0.863576984963
104,0.847046080363
105,0.846517204892
106,0.849594106043
107,0.849368804617
108,0.855136792001
109,0.859094111537
110,0.860697078189
111,0.862775094862
112,0.839895604634
113,0.842657744778
114,0.869700657524
115,0.851934947803
116,0.863847730811
117,0.865587782243
118,0.844231367884
119,0.837746088818
120,0.868948692773
121,0.846155837872
122,0.841430457279
123,0.855660403166
124,0.877038716421
125,0.85246839268
126,0.861133596642
127,0.853573499518
128,0.839257501865
129,0.888461734568
130,0.848178425022
131,0.845071563428
132,0.872349660285
133,0.861588253679
134,0.846118449875
135,0.853750946458
136,0.852938518897
137,0.859736781827
138,0.853685886231
139,0.841917017618
140,0.848273438295
141,0.861054484849
142,0.854316644612
143,0.852831977836
144,0.864341987365
145,0.841261359263
146,0.833258322076
147,0.844840317999
148,0.8479279172
149,0.849219206558
150,0.848599554366
151,0.847322146579
152,0.848250426066
153,0.86874947841
154,0.852111150129
155,0.848784770855
156,0.837932530337
157,0.869596732146
158,0.870402828066
159,0.857816050094
160,0.85384423875
161,0.841688586902
162,0.855667180356
163,0.865286891804
164,0.853550221664
165,0.848278023825
166,0.84787267148
167,0.855546800375
168,0.826518886541
169,0.861763339462
170,0.837373578812
171,0.864376737563
172,0.855958514173
174,0.842466743458
175,0.849912151429
176,0.867782635806
177,0.866207278886
178,0.859180476244
179,0.863611171355
180,0.864512353065
181,0.850754461603
182,0.877177643969
183,0.857494649764
184,0.877622850164
185,0.853799773108
186,0.866149752063
187,0.839699855618
188,0.873368523066
189,0.869000595574
190,0.848761809166
191,0.87479195344
192,0.843098552526
193,0.845071563428
