%Recollect Version 2.3, Session: 2
%EventNumber,EventType,Data1,Data2,iPadTime,UnixTimeMS
%EventType {0=StartMode, 1=BlockBegin, 2=BlockEnd, 3=StimulusPresented, 4=StimulusInteraction, 5=StimulusTimedOut, 6=Heartbeat, 7=DamageTaken, 8=AssessmentBegin, 9=AssessmentEnd, 10=BreakBegin, 11=BreakEnd}
%EventData Breakout:
%  StartMode {Data1=SessionNumber, Data2=GameMode}
%  BlockBegin {Data1=BlockNumber, Data2=NLevel}
%  BlockEnd {Data1=BlockNumber, Data2=NLevel}
%  StimulusPresented {Data1=TrialType, Data2=Color}
%  StimulusInteraction {Data1=TrialType, Data2=CorrectResponse}
%  StimulusTimedOut {Data1=TrialType, Data2=CorrectResponse}
%  Heartbeat {Data1=Enumeration, Data2=-}
%  DamageTaken {Data1=LivesRemaining, Data2=-}
%  AssessmentBegin {Data1=AssessmentNumber, Data2=-}
%  AssessmentEnd {Data1=AssessmentNumber, Data2=-}
%  BreakBegin {Data1=SessionNumber, Data2=-}
%  BreakEnd {Data1=SessionNumber, Data2=-}
%AssessmentNumber {0=MatrixReasoning, 1=LetterNumberTask, 2=SymmetrySpan, 3=CancellationTask, 4=Break, 5=CorsiBlocks, 6=NearTransfer, 7=DogsAndMonkeys}
%GameMode {0=Recollect, 1=LameBack, 2=Assessments}
167,3,2,0,249323,1488419690928
168,6,23,-1,249656,1488419691260
169,5,2,1,251823,1488419693428
170,3,1,5,252323,1488419693928
171,4,1,1,253290,1488419694896
172,5,1,1,254823,1488419696428
173,3,1,0,255323,1488419696928
174,4,1,1,256224,1488419697829
175,5,1,1,257823,1488419699428
176,3,1,0,258323,1488419699928
177,4,1,1,258923,1488419700530
178,6,24,-1,259657,1488419701262
179,5,1,1,260823,1488419702428
180,3,2,0,261324,1488419702929
181,5,2,1,263824,1488419705428
182,3,2,5,264324,1488419705930
183,4,2,0,266590,1488419708199
184,5,2,0,266824,1488419708429
185,3,2,5,267324,1488419708929
186,4,2,0,268557,1488419710163
187,6,25,-1,269657,1488419711262
188,5,2,0,269824,1488419711429
189,3,2,5,270324,1488419711929
190,4,2,0,271391,1488419712997
191,5,2,0,272824,1488419714429
192,3,1,5,273324,1488419714929
193,4,1,1,274224,1488419715830
194,5,1,1,275824,1488419717429
195,3,2,0,276324,1488419717929
196,5,2,1,278824,1488419720429
197,3,1,5,279325,1488419720930
198,6,26,-1,279658,1488419721262
199,4,1,1,280125,1488419721731
200,5,1,1,281825,1488419723429
201,3,2,0,282325,1488419723930
202,5,2,1,284825,1488419726429
203,3,1,0,285325,1488419726930
204,4,1,1,286025,1488419727631
205,5,1,1,287825,1488419729429
206,3,1,5,288325,1488419729930
207,4,1,1,288958,1488419730565
208,6,27,-1,289658,1488419731262
209,5,1,1,290825,1488419732430
210,3,1,0,291325,1488419732930
211,4,1,1,292625,1488419734231
212,5,1,1,293825,1488419735430
213,3,0,3,294325,1488419735930
214,5,0,1,296825,1488419738430
215,3,2,0,297326,1488419738931
216,6,28,-1,299659,1488419741263
217,5,2,1,299826,1488419741430
218,3,0,1,300326,1488419741931
219,5,0,1,302826,1488419744430
220,3,0,6,303326,1488419744931
221,5,0,1,305826,1488419747431
222,3,0,4,306326,1488419747931
223,4,0,0,306959,1488419748565
224,5,0,0,308827,1488419750432
225,3,0,2,309326,1488419750933
226,6,29,-1,309660,1488419751264
227,4,0,0,310326,1488419751933
228,5,0,0,311826,1488419753431
229,3,0,7,312326,1488419753931
230,5,0,1,314826,1488419756431
231,3,0,3,315326,1488419756931
232,5,0,1,317827,1488419759431
233,3,0,5,318327,1488419759932
234,6,30,-1,319660,1488419761265
235,5,0,1,320827,1488419762432
236,3,0,0,321327,1488419762932
237,5,0,1,323827,1488419765432
238,3,2,0,324327,1488419765932
239,5,2,1,326827,1488419768432
240,6,31,-1,329661,1488419773300
241,2,1,2,330528,1488419774168
242,1,2,2,330894,1488419778708
243,3,3,6,332044,1488419779799
244,5,3,1,334545,1488419782299
245,3,3,3,335045,1488419782800
246,5,3,1,337545,1488419785300
247,3,2,3,338045,1488419785800
