%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486427905296,1486427908297,1486427916717
1,G4,G,4,1486427918246,1486427921248,1486427928297
2,3W5,W,35,1486427929830,1486427934332,1486427939231
3,T7L,LT,7,1486427940764,1486427945266,1486427951665
4,1JA,AJ,1,1486427953198,1486427957700,1486427963682
0,F4,F,4,1486427969783,1486427972751,1486427977383
1,1J,J,1,1486427978884,1486427981886,1486427985867
2,A7,A,7,1486427987400,1486427990402,1486427995017
3,L1H,HL,1,1486427996551,1486428001052,1486428007051
4,T2S,ST,2,1486428008552,1486428013053,1486428024579
5,K43,K,34,1486428026103,1486428030604,1486428036814
6,R5B2,BR,25,1486428038337,1486428044338,1486428057593
7,N3L9,BL,39,1486428059121,1486428065123,1486428076394
8,5V8P,PV,58,1486428077923,1486428083924,1486428104953
9,4M7S1,MS,147,1486428106474,1486428113976,1486428132792
10,L3E1D,EDL,13,1486428134325,1486428141794,1486428167694
11,9M6K2,M,26,1486428169227,1486428176729,1486428226673
12,D1B5R9,BDR,159,1486428228197,1486428237199,1486428271159
13,G9T2A5,GT,259,1486428272683,1486428281686,1486428307757
14,3W5A1G,AGW,135,1486428309286,1486428318304,1486428337619
15,B6H7A5K,BKW,567,1486428339137,1486428349639,1486428362792
16,8H4R1C2,BK,1248,1486428364322,1486428374824,1486428384373
17,C7B5N9Y,BCNY,579,1486428385906,1486428396408,1486428408702
18,3Q8D4R6F,FQR,346,1486428410224,1486428422226,1486428441459
19,P2H8F4Y6,FPY,268,1486428442993,1486428454995,1486428489319
20,7D9T3E4S,DES,3478,1486428490845,1486428502847,1486428528968
