%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,5,9,3,0,1,6,1487961359886,-1,1487961359357
6,5,10,3,0,0,1,1487961362919,1487961364719,1487961362423
6,5,11,3,0,1,3,1487961365954,-1,1487961365455
6,5,12,3,0,0,2,1487961368986,1487961369722,1487961368489
6,5,13,3,0,0,7,1487961372019,1487961372621,1487961371521
6,5,14,3,1,1,3,1487961375053,1487961376922,1487961374523
6,5,15,3,1,0,0,1487961378120,-1,1487961377592
6,5,16,3,0,0,4,1487961381120,1487961383456,1487961380623
6,5,17,3,0,0,1,1487961384188,1487961384920,1487961383657
6,5,18,3,0,0,2,1487961387221,1487961387920,1487961386724
6,5,19,3,1,0,7,1487961390254,-1,1487961389724
6,5,20,3,1,0,5,1487961393287,-1,1487961392758
6,5,21,3,0,1,2,1487961396322,-1,1487961395792
6,5,22,3,1,1,7,1487961399357,1487961399990,1487961398825
6,5,23,3,0,1,5,1487961402421,-1,1487961401892
6,6,1,1,0,3,3,1487961417023,-1,1487961416491
6,6,2,1,1,0,7,1487961420024,-1,1487961419526
6,6,3,1,1,0,3,1487961423090,-1,1487961422560
6,6,4,1,1,0,1,1487961426123,-1,1487961425593
6,6,5,1,0,1,1,1487961429157,-1,1487961428659
6,6,6,1,1,1,1,1487961432224,1487961432657,1487961431694
6,6,7,1,1,0,2,1487961435257,-1,1487961434760
6,6,8,1,1,0,7,1487961438324,-1,1487961437795
6,6,9,1,1,0,3,1487961441358,-1,1487961440827
6,6,10,1,1,0,1,1487961444425,-1,1487961443894
6,6,11,1,0,0,0,1487961447457,1487961448124,1487961446927
6,6,12,1,1,0,6,1487961450524,-1,1487961449995
6,6,13,1,0,1,6,1487961453558,-1,1487961453028
6,6,14,1,0,1,6,1487961456593,-1,1487961456062
6,6,15,1,0,0,2,1487961459624,1487961460858,1487961459095
6,6,16,1,1,0,4,1487961462691,-1,1487961462161
6,6,17,1,1,1,4,1487961465725,1487961466792,1487961465194
6,6,18,1,1,0,5,1487961468791,-1,1487961468261
6,6,19,1,1,0,2,1487961471825,-1,1487961471294
6,6,20,1,1,1,2,1487961474859,1487961475659,1487961474361
6,6,21,1,1,0,1,1487961477892,-1,1487961477396
6,7,1,2,1,3,0,1487961496493,-1,1487961495961
6,7,2,2,1,3,1,1487961499526,-1,1487961498997
6,7,3,2,1,2,1,1487961502560,-1,1487961502030
6,7,4,2,1,0,0,1487961505627,-1,1487961505096
6,7,5,2,1,2,0,1487961508694,-1,1487961508164
6,7,6,2,1,0,5,1487961511727,-1,1487961511196
6,7,7,2,1,0,2,1487961514761,-1,1487961514264
6,7,8,2,1,0,3,1487961517794,-1,1487961517297
6,7,9,2,0,1,2,1487961520861,-1,1487961520331
6,7,10,2,1,1,3,1487961523928,1487961525328,1487961523398
6,7,11,2,1,0,1,1487961526928,-1,1487961526431
6,7,12,2,1,0,6,1487961529995,-1,1487961529464
6,7,13,2,1,0,4,1487961533062,-1,1487961532531
6,7,14,2,1,0,2,1487961536129,-1,1487961535598
6,7,15,2,0,1,4,1487961539163,-1,1487961538632
6,7,16,2,1,2,4,1487961542196,-1,1487961541665
6,7,17,2,1,2,2,1487961545229,-1,1487961544698
6,7,18,2,0,1,4,1487961548263,-1,1487961547732
6,7,19,2,0,1,2,1487961551263,-1,1487961550765
6,7,20,2,0,1,4,1487961554296,-1,1487961553800
6,7,21,2,1,2,4,1487961557363,-1,1487961556832
6,7,22,2,1,2,2,1487961560397,-1,1487961559866
6,8,1,3,1,3,0,1487961578964,-1,1487961578465
6,8,2,3,1,3,3,1487961581998,-1,1487961581468
6,8,3,3,1,3,7,1487961585065,-1,1487961584534
6,8,4,3,1,0,4,1487961588131,-1,1487961587601
6,8,5,3,1,0,4,1487961591165,-1,1487961590634
6,8,6,3,1,2,4,1487961594232,-1,1487961593701
6,8,7,3,0,1,4,1487961597265,-1,1487961596734
6,8,8,3,1,0,6,1487961600299,-1,1487961599770
6,8,9,3,1,0,6,1487961603332,-1,1487961602800
6,8,10,3,1,2,6,1487961606366,-1,1487961605835
6,8,11,3,1,2,4,1487961609399,-1,1487961608869
6,8,12,3,1,0,4,1487961612433,-1,1487961611902
6,8,13,3,1,2,4,1487961615467,-1,1487961614969
6,8,14,3,0,1,4,1487961618533,-1,1487961618002
6,8,15,3,0,1,4,1487961621600,-1,1487961621070
6,8,16,3,0,1,4,1487961624601,-1,1487961624103
6,8,17,3,0,1,4,1487961627634,-1,1487961627136
6,8,18,3,1,2,0,1487961630701,-1,1487961630170
6,8,19,3,1,0,1,1487961633734,-1,1487961633203
6,8,20,3,1,1,4,1487961636768,1487961637734,1487961636237
6,8,21,3,1,0,2,1487961639834,-1,1487961639303
6,8,22,3,1,2,0,1487961642869,-1,1487961642338
6,8,23,3,1,0,5,1487961645869,-1,1487961645371
