%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 8
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:AlgorithmCondition,BlockNumber,Trial,CurrentNLevel,LureRate,IsCorrect,StimulusType,StimulusColor,PresentationTime(R),PresentationTime(A),ResponseTime(R),ResponseTime(A),ExpireTime(R),ExpireTime(A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,Gray=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,LessThanN=3,
3,1,11,2,0.3,1,2,6,210.8794,1488304253825,-1,-1,210.3461,1488304253296
3,1,12,2,0.3,1,0,3,213.9463,1488304256891,-1,-1,213.3795,1488304256329
3,1,13,2,0.3,1,2,0,217.0132,1488304259958,-1,-1,216.4796,1488304259429
3,1,14,2,0.3,1,1,3,220.0467,1488304262992,220.8133,1488304263759,219.5133,1488304262463
3,1,15,2,0.3,1,0,1,223.0801,1488304266025,-1,-1,222.5467,1488304265498
3,1,16,2,0.3,1,2,0,226.0804,1488304269026,-1,-1,225.5802,1488304268531
3,1,17,2,0.3,1,0,4,229.0806,1488304272026,-1,-1,228.5805,1488304271532
3,1,18,2,0.3,1,1,0,232.1474,1488304275093,233.1807,1488304276126,231.614,1488304274563
3,1,19,2,0.3,1,1,4,235.1809,1488304278126,236.0142,1488304278960,234.6807,1488304277631
3,1,20,2,0.3,1,1,0,238.2474,1488304281192,239.4808,1488304282426,237.714,1488304280663
3,1,21,2,0.3,1,2,0,241.2479,1488304284193,-1,-1,240.7477,1488304283698
3,1,22,2,0.3,1,0,6,244.3147,1488304287260,-1,-1,243.7815,1488304286732
3,1,23,2,0.3,1,2,6,247.3149,1488304290260,-1,-1,246.8148,1488304289766
3,1,24,2,0.3,1,0,2,250.3817,1488304293327,-1,-1,249.815,1488304292765
3,1,25,2,0.3,1,0,1,253.4154,1488304296360,-1,-1,252.882,1488304295832
3,1,26,2,0.3,1,2,1,256.482,1488304299427,-1,-1,255.9486,1488304298899
3,1,27,2,0.3,1,0,3,259.5155,1488304302461,-1,-1,258.9821,1488304301933
3,1,28,2,0.3,1,0,7,262.5824,1488304305527,-1,-1,262.0158,1488304304965
3,1,29,2,0.3,1,1,3,265.6492,1488304308594,266.416,1488304309362,265.0826,1488304308032
3,1,30,2,0.3,1,0,2,268.7161,1488304311661,-1,-1,268.1493,1488304311100
3,1,31,2,0.3,1,1,3,271.7833,1488304314728,272.5163,1488304315462,271.2162,1488304314167
3,1,32,2,0.3,1,1,2,274.8496,1488304317795,275.6497,1488304318595,274.3163,1488304317266
3,1,33,2,0.3,1,0,1,277.9165,1488304320862,-1,-1,277.3498,1488304320301
3,1,34,2,0.3,1,0,6,280.9499,1488304323895,-1,-1,280.4167,1488304323368
3,1,35,2,0.3,1,0,5,283.9836,1488304326929,-1,-1,283.4503,1488304326401
3,1,36,2,0.3,1,0,0,287.0171,1488304329962,-1,-1,286.4837,1488304329434
3,1,37,2,0.3,1,1,5,290.0506,1488304332996,290.8839,1488304333830,289.5172,1488304332468
3,1,38,2,0.3,1,2,5,293.0508,1488304335996,-1,-1,292.5506,1488304335500
3,1,39,2,0.3,1,2,0,296.1175,1488304339063,-1,-1,295.5841,1488304338534
3,1,40,2,0.3,1,0,4,299.1844,1488304342130,-1,-1,298.6178,1488304341567
3,1,41,2,0.3,1,2,4,302.251,1488304345196,-1,-1,301.6847,1488304344636
3,2,0,3,0.3,1,3,7,313.0852,1488304356030,-1,-1,312.5187,1488304355469
3,2,1,3,0.3,1,3,3,316.1186,1488304359064,-1,-1,315.5853,1488304358536
3,2,2,3,0.3,1,3,1,319.186,1488304362131,-1,-1,318.6188,1488304361569
3,2,3,3,0.3,1,2,3,322.2523,1488304365198,-1,-1,321.7189,1488304364669
3,2,4,3,0.3,1,1,3,325.2858,1488304368231,326.0526,1488304368998,324.7525,1488304367703
3,2,5,3,0.3,1,1,1,328.2861,1488304371231,329.3528,1488304372299,327.786,1488304370736
3,2,6,3,0.3,1,2,1,331.3196,1488304374265,-1,-1,330.7862,1488304373737
3,2,7,3,0.3,1,1,3,334.3531,1488304377298,335.12,1488304378066,333.8197,1488304376770
3,2,8,3,0.3,1,2,3,337.4199,1488304380365,-1,-1,336.8865,1488304379836
3,2,9,3,0.3,1,1,1,340.4534,1488304383399,341.4203,1488304384366,339.9201,1488304382870
3,2,10,3,0.3,1,2,1,343.4537,1488304386399,-1,-1,342.9535,1488304385904
3,2,11,3,0.3,1,0,6,346.5202,1488304389465,-1,-1,345.987,1488304388938
3,2,12,3,0.3,1,2,3,349.5207,1488304392466,-1,-1,349.0203,1488304391969
3,2,13,3,0.3,1,1,1,352.554,1488304395499,353.4207,1488304396366,352.0207,1488304394970
3,2,14,3,0.3,1,1,6,355.5875,1488304398533,356.6211,1488304399567,355.0544,1488304398005
3,2,15,3,0.3,1,2,6,358.6544,1488304401600,-1,-1,358.1208,1488304401070
3,2,16,3,0.3,1,0,7,361.7545,1488304404700,-1,-1,361.1879,1488304404138
3,2,17,3,0.3,1,1,6,364.7879,1488304407733,365.5548,1488304408500,364.2546,1488304407204
3,2,18,3,0.3,1,0,3,367.7884,1488304410733,-1,-1,367.2882,1488304410239
3,2,19,3,0.3,1,0,4,370.8882,1488304413833,-1,-1,370.3218,1488304413272
3,2,20,3,0.3,1,2,4,373.8888,1488304416834,-1,-1,373.3885,1488304416339
3,2,21,3,0.3,1,0,5,376.9887,1488304419934,-1,-1,376.4221,1488304419373
3,2,22,3,0.3,1,0,2,380.0222,1488304422967,-1,-1,379.4888,1488304422439
3,2,23,3,0.3,1,0,6,383.0891,1488304426034,-1,-1,382.5224,1488304425472
3,2,24,3,0.3,1,0,3,386.1561,1488304429101,-1,-1,385.5896,1488304428538
3,2,25,3,0.3,1,0,1,389.1895,1488304432135,-1,-1,388.6562,1488304431606
3,2,26,3,0.3,1,0,7,392.2563,1488304435201,-1,-1,391.723,1488304434673
3,2,27,3,0.3,1,2,1,395.3232,1488304438268,-1,-1,394.7564,1488304437707
3,2,28,3,0.3,0,2,6,398.3901,1488304441335,399.9234,1488304442869,397.8234,1488304440774
3,2,29,3,0.3,0,1,7,401.4235,1488304444369,-1,-1,400.8902,1488304443840
3,2,30,3,0.3,1,1,1,404.457,1488304447402,406.4569,1488304449402,403.9236,1488304446874
3,2,31,3,0.3,1,0,2,407.4905,1488304450436,-1,-1,406.9571,1488304449908
3,2,32,3,0.3,1,1,7,410.524,1488304453469,411.3909,1488304454336,409.9906,1488304452941
3,2,33,3,0.3,1,2,7,413.5243,1488304456469,-1,-1,413.024,1488304455972
3,2,34,3,0.3,1,0,5,416.5578,1488304459503,-1,-1,416.0575,1488304459007
3,2,35,3,0.3,1,2,5,419.6245,1488304462570,-1,-1,419.058,1488304462008
3,2,36,3,0.3,1,0,1,422.6914,1488304465636,-1,-1,422.1247,1488304465074
3,2,37,3,0.3,1,0,4,425.7248,1488304468670,-1,-1,425.1915,1488304468142
3,2,38,3,0.3,0,1,5,428.7915,1488304471737,-1,-1,428.2249,1488304471175
3,2,39,3,0.3,1,0,7,431.8586,1488304474804,-1,-1,431.2918,1488304474242
3,2,40,3,0.3,1,0,3,434.9588,1488304477904,-1,-1,434.3921,1488304477343
3,2,41,3,0.3,1,1,5,438.0257,1488304480971,438.9256,1488304481871,437.459,1488304480409
3,2,42,3,0.3,1,2,3,441.0926,1488304484038,-1,-1,440.5591,1488304483509
3,3,0,3,0.3,1,3,0,453.8264,1488304496772,-1,-1,453.2599,1488304496210
3,3,1,3,0.3,1,3,3,456.8601,1488304499805,-1,-1,456.3266,1488304499277
3,3,2,3,0.3,1,3,6,459.9267,1488304502872,-1,-1,459.3933,1488304502344
3,3,3,3,0.3,1,2,6,462.9602,1488304505905,-1,-1,462.4269,1488304505378
3,3,4,3,0.3,1,1,3,465.9937,1488304508939,466.8271,1488304509773,465.4604,1488304508411
3,3,5,3,0.3,1,0,2,468.994,1488304511939,-1,-1,468.4937,1488304511443
3,3,6,3,0.3,1,2,3,472.0612,1488304515006,-1,-1,471.5275,1488304514478
3,3,7,3,0.3,1,1,3,475.1276,1488304518073,476.261,1488304519206,474.5941,1488304517545
3,3,8,3,0.3,1,0,0,478.161,1488304521106,-1,-1,477.6277,1488304520578
3,3,9,3,0.3,1,1,3,481.2279,1488304524173,482.0288,1488304524975,480.6613,1488304523613
3,3,10,3,0.3,1,0,5,484.2948,1488304527240,-1,-1,483.7282,1488304526679
3,3,11,3,0.3,1,1,0,487.3283,1488304530274,488.1283,1488304531074,486.7949,1488304529745
3,3,12,3,0.3,1,0,2,490.3951,1488304533340,-1,-1,489.8285,1488304532779
3,3,13,3,0.3,1,2,0,493.4619,1488304536407,-1,-1,492.8953,1488304535845
3,3,14,3,0.3,1,2,5,496.5288,1488304539474,-1,-1,495.9621,1488304538912
3,3,15,3,0.3,1,2,5,499.5623,1488304542508,-1,-1,499.029,1488304541979
3,3,16,3,0.3,1,0,4,502.5959,1488304545541,-1,-1,502.0623,1488304545013
3,3,17,3,0.3,1,2,0,505.6962,1488304548641,-1,-1,505.1293,1488304548080
3,3,18,3,0.3,1,0,1,508.763,1488304551708,-1,-1,508.2294,1488304551180
3,3,19,3,0.3,1,0,2,511.8297,1488304554775,-1,-1,511.2964,1488304554247
3,3,20,3,0.3,0,0,6,514.8965,1488304557842,515.9299,1488304558876,514.3301,1488304557281
3,3,21,3,0.3,1,2,2,517.9634,1488304560908,-1,-1,517.397,1488304560346
3,3,22,3,0.3,1,1,2,521.0302,1488304563975,523.0637,1488304566009,520.4635,1488304563413
3,3,23,3,0.3,1,0,3,524.0305,1488304566976,-1,-1,523.5303,1488304566481
3,3,24,3,0.3,0,1,2,527.0973,1488304570042,-1,-1,526.5638,1488304569514
3,3,25,3,0.3,1,2,3,530.1306,1488304573076,-1,-1,529.5973,1488304572548
3,3,26,3,0.3,1,1,3,533.1975,1488304576143,534.0651,1488304577011,532.6642,1488304575614
3,3,27,3,0.3,1,0,5,536.2312,1488304579176,-1,-1,535.6976,1488304578648
3,3,28,3,0.3,1,2,2,539.3312,1488304582276,-1,-1,538.7648,1488304581715
3,3,29,3,0.3,1,1,3,542.3982,1488304585343,543.0981,1488304586044,541.8314,1488304584782
3,3,30,3,0.3,1,0,7,545.4651,1488304588410,-1,-1,544.9315,1488304587882
3,3,31,3,0.3,1,0,4,548.5316,1488304591477,-1,-1,547.9984,1488304590948
3,3,32,3,0.3,1,2,2,551.5985,1488304594544,-1,-1,551.032,1488304593982
3,3,33,3,0.3,1,1,7,554.6321,1488304597577,555.2655,1488304598211,554.0986,1488304597049
3,3,34,3,0.3,1,0,0,557.6656,1488304600611,-1,-1,557.1322,1488304600083
3,3,35,3,0.3,0,0,3,560.7324,1488304603678,561.6992,1488304604645,560.1991,1488304603149
3,3,36,3,0.3,1,2,0,563.7993,1488304606744,-1,-1,563.2327,1488304606183
3,3,37,3,0.3,0,1,0,566.8329,1488304609778,-1,-1,566.2993,1488304609250
3,3,38,3,0.3,1,2,0,569.8663,1488304612811,-1,-1,569.3329,1488304612283
3,3,39,3,0.3,1,1,0,572.8998,1488304615845,573.8331,1488304616779,572.3663,1488304615317
3,3,40,3,0.3,1,0,2,575.9666,1488304618912,-1,-1,575.3998,1488304618349
3,3,41,3,0.3,1,1,0,579.0334,1488304621979,580.2003,1488304623146,578.4669,1488304621418
3,3,42,3,0.3,1,0,1,582.0669,1488304625012,-1,-1,581.5336,1488304624485
3,4,0,3,0.3,1,3,0,591.601,1488304634546,-1,-1,591.0675,1488304634017
3,4,1,3,0.3,1,3,1,594.6677,1488304637613,-1,-1,594.1344,1488304637084
3,4,2,3,0.3,1,3,6,597.7345,1488304640680,-1,-1,597.1678,1488304640118
3,4,3,3,0.3,1,2,6,600.8014,1488304643747,-1,-1,600.2346,1488304643185
3,4,4,3,0.3,1,1,1,603.8687,1488304646814,604.6349,1488304647581,603.3015,1488304646252
3,4,5,3,0.3,1,2,1,606.9684,1488304649913,-1,-1,606.4019,1488304649351
3,4,6,3,0.3,0,1,6,610.002,1488304652947,-1,-1,609.4685,1488304652418
3,4,7,3,0.3,1,1,1,613.0687,1488304656014,613.8021,1488304656748,612.5354,1488304655486
3,4,8,3,0.3,1,1,1,616.1023,1488304659047,616.6689,1488304659615,615.5688,1488304658520
3,4,9,3,0.3,1,0,2,619.1691,1488304662114,-1,-1,618.6024,1488304661552
3,4,10,3,0.3,1,1,1,622.2025,1488304665148,623.1027,1488304666048,621.6692,1488304664620
3,4,11,3,0.3,1,2,2,625.2362,1488304668181,-1,-1,624.736,1488304667687
3,4,12,3,0.3,1,0,7,628.3362,1488304671281,-1,-1,627.7695,1488304670720
3,4,13,3,0.3,1,1,1,631.4031,1488304674348,632.3699,1488304675315,630.8367,1488304673786
