%Recollect Version 2.3. Scene/Level: , Session: 19, GameNumber: 7
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,0,0,1487814351518,1487814354385
1,1,1,1,1,1487814355384,1487814356085
1,2,1,0,0,1487814357085,1487814357817
1,3,1,1,1,1487814358818,1487814359519
2,0,1,1,1,1487814361552,1487814362551
2,1,1,1,1,1487814363552,1487814364185
2,2,1,0,0,1487814365185,1487814366085
2,3,1,1,1,1487814367085,1487814367651
2,4,1,0,0,1487814368653,1487814369185
2,5,1,1,1,1487814370185,1487814370718
2,6,1,1,1,1487814371719,1487814372352
2,7,1,0,0,1487814373352,1487814373852
2,8,1,0,0,1487814374853,1487814375419
2,9,1,0,0,1487814376419,1487814376952
2,10,1,1,1,1487814377952,1487814378486
2,11,1,0,0,1487814379487,1487814380019
3,0,0,0,1,1487814384953,1487814385553
3,1,0,1,0,1487814386520,1487814387253
3,2,0,0,1,1487814388254,1487814388786
3,3,0,1,0,1487814389787,1487814390787
4,0,0,1,0,1487814394804,1487814395403
4,1,0,0,1,1487814396403,1487814397103
4,2,0,1,0,1487814398104,1487814398837
4,3,0,0,1,1487814399837,1487814400403
4,4,0,1,0,1487814401404,1487814402003
4,5,0,0,1,1487814402971,1487814403604
4,6,0,0,1,1487814404570,1487814405137
4,7,0,1,0,1487814406137,1487814406904
4,8,0,1,0,1487814407904,1487814408570
4,9,0,1,0,1487814409571,1487814410138
4,10,0,0,1,1487814411138,1487814411671
4,11,0,0,1,1487814412671,1487814413237
5,0,1,1,1,1487814418188,1487814419121
5,1,0,0,1,1487814420122,1487814420854
5,2,1,0,0,1487814421822,1487814422622
5,3,0,1,0,1487814423622,1487814424588
6,0,1,1,1,1487814432589,1487814433388
6,1,1,0,0,1487814434390,1487814435222
6,2,1,0,0,1487814436223,1487814437122
6,3,0,1,0,1487814438123,1487814438922
6,4,1,0,0,1487814439923,1487814440757
6,5,0,1,0,1487814441724,1487814442389
6,6,1,1,1,1487814443356,1487814444189
6,7,1,1,1,1487814445189,1487814445856
6,8,0,0,1,1487814446823,1487814447656
6,9,0,0,1,1487814448656,1487814449423
6,10,1,0,0,1487814450423,1487814451490
6,11,1,1,1,1487814452490,1487814453223
6,12,0,0,1,1487814454223,1487814456123
6,13,1,1,1,1487814457123,1487814457923
6,14,0,1,0,1487814458924,1487814459823
6,15,1,1,1,1487814460824,1487814461590
6,16,0,0,1,1487814462590,1487814463524
6,17,0,0,1,1487814464524,1487814465324
6,18,1,0,0,1487814466291,1487814467224
6,19,0,1,0,1487814468224,1487814469257
6,20,0,1,0,1487814470257,1487814471191
6,21,1,0,0,1487814472191,1487814473091
6,22,1,1,1,1487814474091,1487814474724
6,23,1,0,0,1487814475724,1487814476625
6,24,0,1,0,1487814477625,1487814478725
6,25,0,1,0,1487814479725,1487814480558
6,26,0,0,1,1487814481525,1487814482391
6,27,1,1,1,1487814483392,1487814484458
6,28,0,1,0,1487814485458,1487814486825
6,29,0,0,1,1487814487825,1487814488625
6,30,1,0,0,1487814489592,1487814490293
6,31,1,1,1,1487814491292,1487814491825
6,32,0,0,1,1487814492792,1487814493559
6,33,0,1,0,1487814494559,1487814495358
6,34,0,1,0,1487814496359,1487814497092
6,35,1,0,0,1487814498093,1487814499025
6,36,0,0,1,1487814499993,1487814500792
6,37,0,0,1,1487814501793,1487814502492
6,38,1,1,1,1487814503493,1487814504326
6,39,0,0,1,1487814505326,1487814506493
6,40,1,0,0,1487814507494,1487814508193
6,41,1,0,0,1487814509160,1487814510027
6,42,1,1,1,1487814511028,1487814512193
6,43,0,1,0,1487814513193,1487814514093
6,44,1,1,1,1487814515093,1487814515893
6,45,1,0,0,1487814516860,1487814517793
6,46,0,0,1,1487814518794,1487814519561
6,47,0,1,0,1487814520560,1487814521527
