%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486145264834,1486145271633
1,1,34,34,0,1486145272637,1486145278466
2,0,15,15,0,1486145281402,1486145287534
2,1,73,73,0,1486145288502,1486145295467
2,2,164,164,0,1486145296469,1486145304002
2,3,705,705,0,1486145305003,1486145312668
2,4,2173,2173,0,1486145313637,1486145323735
2,5,1504,1504,0,1486145324704,1486145334269
2,6,42350,42350,0,1486145335238,1486145346770
2,7,24061,24061,0,1486145347739,1486145361238
2,8,061743,0271643,0,1486145362239,1486145381406
2,9,625037,625037,0,1486145382407,1486145398840
2,10,7152305,1725305,0,1486145399842,1486145417208
2,11,3157264,3152674,1,1486145418209,1486145437009
3,0,60,06,0,1486145443344,1486145449643
3,1,24,42,0,1486145450612,1486145456543
4,0,25,52,0,1486145459378,1486145465211
4,1,63,36,0,1486145466212,1486145472177
4,2,574,475,0,1486145473179,1486145480978
4,3,207,702,0,1486145481946,1486145489712
4,4,7305,5037,0,1486145490680,1486145500712
4,5,4130,0314,0,1486145501714,1486145511846
4,6,35741,14753,0,1486145512814,1486145524313
4,7,70526,62507,0,1486145525283,1486145536614
4,8,607251,152706,0,1486145537583,1486145551249
4,9,270643,346027,0,1486145552217,1486145565682
4,10,0416327,7236140,0,1486145566651,1486145584384
4,11,5632041,1402365,0,1486145585386,1486145600818
4,12,48256132,23165240,0,1486145601787,1486145620437
4,13,04523765,57635240,0,1486145621438,1486145643160
