%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,5,20,3,0,0,4,1488248738020,1488248739720,1488248737458
6,5,21,3,1,1,6,1488248741086,1488248743320,1488248740522
6,5,22,3,0,1,2,1488248744153,-1,1488248743589
6,6,0,1,1,3,3,1488248750037,-1,1488248749475
6,6,1,1,1,0,0,1488248753104,-1,1488248752572
6,6,2,1,1,0,3,1488248756171,-1,1488248755608
6,6,3,1,1,0,1,1488248759271,-1,1488248758708
6,6,4,1,1,1,1,1488248762371,1488248764505,1488248761806
6,6,5,1,1,0,4,1488248765471,-1,1488248764906
6,6,6,1,1,0,6,1488248768538,-1,1488248767975
6,6,7,1,1,0,0,1488248771572,-1,1488248771042
6,6,8,1,1,0,3,1488248774672,-1,1488248774107
6,6,9,1,1,1,3,1488248777739,1488248778373,1488248777174
6,6,10,1,1,0,7,1488248780839,-1,1488248780277
6,6,11,1,1,0,5,1488248783939,-1,1488248783374
6,6,12,1,1,0,0,1488248786972,-1,1488248786441
6,6,13,1,1,0,3,1488248790006,-1,1488248789477
6,6,14,1,1,0,6,1488248793073,-1,1488248792544
6,6,15,1,1,0,2,1488248796140,-1,1488248795608
6,6,16,1,1,1,2,1488248799174,1488248799908,1488248798676
6,6,17,1,1,0,5,1488248802274,-1,1488248801711
6,6,18,1,1,1,5,1488248805373,1488248805940,1488248804808
6,6,19,1,1,1,5,1488248808440,1488248809240,1488248807876
6,6,20,1,1,1,5,1488248811474,1488248812108,1488248810944
6,7,0,2,1,3,0,1488248816574,-1,1488248816009
6,7,1,2,1,3,1,1488248819674,-1,1488248819109
6,7,2,2,1,0,3,1488248822741,-1,1488248822179
6,7,3,2,1,2,3,1488248825808,-1,1488248825246
6,7,4,2,1,0,5,1488248828875,-1,1488248828344
6,7,5,2,1,0,0,1488248831909,-1,1488248831379
