%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488246421339,1488246424524,1488246435792
1,G4,G,4,1488246437324,1488246440543,1488246445374
2,3W5,W,35,1488246446907,1488246451843,1488246457024
3,T7L,LT,7,1488246458525,1488246463243,1488246471150
4,1JA,AJ,1,1488246472676,1488246477394,1488246484026
0,F4,F,4,1488246488993,1488246491996,1488246498383
1,1J,J,1,1488246499910,1488246502913,1488246507678
2,A7,A,7,1488246509244,1488246512214,1488246517264
3,L1H,HL,1,1488246518794,1488246523514,1488246530530
4,T2S,ST,2,1488246532062,1488246536780,1488246541337
5,K43,K,34,1488246542863,1488246547365,1488246552953
6,R5B2,BR,25,1488246554480,1488246560481,1488246566697
7,N3L9,LN,39,1488246568231,1488246574417,1488246580555
8,5V8P,PV,58,1488246582081,1488246588767,1488246594015
9,4M7S1,MS,147,1488246595533,1488246603501,1488246613990
10,L3E1D,EDL,13,1488246615517,1488246623452,1488246629618
11,9M6K2,KM,269,1488246631151,1488246639271,1488246645268
12,D1B5R9,BDR,159,1488246646802,1488246656020,1488246664719
13,G9T2A5,AGTR,259,1488246666219,1488246675221,1488246682933
14,3W5A1G,AGW,135,1488246684454,1488246693457,1488246700521
15,B6H7A5K,ABHK,567,1488246702022,1488246712742,1488246721981
16,8H4R1C2,ACHR,1248,1488246723540,1488246734009,1488246746147
17,C7B5N9Y,ACDW,5789,1488246747674,1488246758176,1488246781483
18,3Q8D4R6F,HRDW,68,1488246783009,1488246795013,1488246813661
19,P2H8F4Y6,AHPY,2468,1488246815195,1488246827198,1488246840221
20,7D9T3E4S,DFHW,3479,1488246841779,1488246853748,1488246872324
