%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486150615023,1486150621754
1,1,34,34,0,1486150622723,1486150628955
2,0,15,15,0,1486150637590,1486150644522
2,1,73,73,0,1486150645524,1486150651889
2,2,164,164,0,1486150652891,1486150661290
2,3,705,705,0,1486150662291,1486150670623
2,4,2173,2173,0,1486150671625,1486150682392
2,5,1504,1504,0,1486150683393,1486150693758
2,6,42350,42350,0,1486150694761,1486150707192
2,7,24061,24061,0,1486150708160,1486150721360
2,8,061743,061743,0,1486150722362,1486150739361
2,9,625037,625037,0,1486150740362,1486150755395
2,10,7152305,7513205,0,1486150756363,1486150775896
2,11,3157264,3157624,0,1486150776898,1486150796398
3,0,60,06,0,1486150803133,1486150809298
3,1,24,42,0,1486150810300,1486150816065
4,0,25,52,0,1486150820034,1486150826166
4,1,63,36,0,1486150827167,1486150833466
4,2,574,475,0,1486150834435,1486150842533
4,3,207,702,0,1486150843535,1486150851534
4,4,7305,5037,0,1486150852535,1486150862334
4,5,4130,0134,0,1486150863303,1486150875402
4,6,35741,14753,0,1486150876404,1486150888569
4,7,70526,62507,0,1486150889571,1486150902137
4,8,607251,152076,0,1486150903105,1486150916938
4,9,270643,346702,0,1486150917906,1486150933772
