%Recollect Version 2.3. Scene/Level: , Session: 12, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487806146529,1487806149749,1487806157290
1,G4,G,4,1487806158847,1487806162033,1487806168986
2,3W5,W,35,1487806170514,1487806175450,1487806181101
3,T7L,LT,7,1487806182631,1487806187351,1487806199099
4,1JA,AJ,0,1487806200599,1487806205318,1487806223741
0,L2,L,2,1487806239563,1487806242750,1487806247194
1,6P,P,6,1487806248714,1487806251933,1487806255489
2,B5,B,5,1487806257014,1487806260018,1487806263582
3,F7L,FL,7,1487806265115,1487806269617,1487806276165
4,R4D,DR,4,1487806277666,1487806282169,1487806288250
5,H18,H,18,1487806289783,1487806295286,1487806300135
6,T9A3,AT,39,1487806301667,1487806308103,1487806324224
7,V1J5,JV,15,1487806325752,1487806331971,1487806345053
8,7N4L,LN,47,1487806346586,1487806353022,1487806365954
9,8D6G1,DG,168,1487806367521,1487806375207,1487806384371
10,K2C7S,CKS,27,1487806385872,1487806393592,1487806411530
11,5P3Y9,IP,359,1487806413056,1487806420776,1487806463593
12,M4E7Q2,EPQ,247,1487806465126,1487806474346,1487806546848
13,W8H5F3,FHW,258,1487806548381,1487806557351,1487806612286
14,6G9A2S,AGS,269,1487806613785,1487806622787,1487806657658
15,R3B4Z1C,BGR,1345,1487806659220,1487806669907,1487806766950
16,5T9B4K3,BKS,356,1487806768476,1487806778980,1487806827451
17,E1H8R4D,EHKS,1345,1487806828980,1487806839483,1487806913289
