%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 21
%D2:Action,Row,Character,TimeOfResponse
-1,6,31,1488390101686
-1,6,31,1488390101886
-1,6,35,1488390102786
-1,6,35,1488390102986
-1,6,35,1488390103186
-1,6,37,1488390103520
-1,6,37,1488390103753
-1,6,37,1488390103986
-1,6,43,1488390104920
-1,7,0,1488390105620
-1,7,0,1488390105819
9,6,-1,1488390105853
1,7,1,1488390106020
1,7,2,1488390106219
1,7,3,1488390106420
1,7,5,1488390106586
1,7,6,1488390106786
1,7,8,1488390106986
1,7,9,1488390107153
1,7,10,1488390107352
1,7,11,1488390107519
1,7,12,1488390107719
1,7,13,1488390107919
1,7,14,1488390108119
1,7,15,1488390108252
1,7,17,1488390108619
2,7,17,1488390108819
1,7,18,1488390109052
1,7,20,1488390109252
2,7,20,1488390109419
1,7,21,1488390109619
1,7,22,1488390109819
1,7,23,1488390110019
1,7,24,1488390110219
1,7,25,1488390110419
1,7,27,1488390110852
1,7,28,1488390111053
1,7,29,1488390111253
1,7,30,1488390111486
1,7,31,1488390111687
1,7,32,1488390111919
1,7,34,1488390112152
1,7,35,1488390112352
1,7,36,1488390112520
1,7,37,1488390112752
1,7,38,1488390112920
1,7,40,1488390113119
1,7,41,1488390113586
1,7,43,1488390114320
1,7,44,1488390114520
1,7,46,1488390114987
2,7,46,1488390115153
1,7,47,1488390115387
-1,7,46,1488390116120
-1,7,46,1488390116320
-1,7,45,1488390116554
-1,7,45,1488390116787
-1,7,46,1488390116987
-1,7,46,1488390117220
-1,7,46,1488390117420
-1,7,46,1488390117620
-1,7,45,1488390117854
-1,7,45,1488390118054
-1,7,45,1488390118287
-1,7,42,1488390118654
-1,7,42,1488390118854
-1,7,42,1488390119054
-1,7,0,1488390120721
-1,7,0,1488390120954
-1,7,0,1488390121154
-1,7,0,1488390121321
-1,8,0,1488390121887
-1,8,1,1488390122087
-1,8,1,1488390122287
-1,8,0,1488390122454
-1,8,0,1488390122654
-1,8,0,1488390122788
-1,8,1,1488390123021
-1,8,2,1488390123221
-1,8,4,1488390123421
-1,8,5,1488390123587
-1,8,7,1488390123787
-1,8,9,1488390124021
-1,8,12,1488390124387
9,7,-1,1488390126855
1,8,1,1488390130155
-1,8,0,1488390130354
-1,8,0,1488390130555
1,8,2,1488390130721
1,8,3,1488390130921
1,8,5,1488390131288
1,8,6,1488390131454
2,8,6,1488390131654
1,8,8,1488390131854
1,8,9,1488390132020
1,8,11,1488390132421
1,8,12,1488390132587
1,8,13,1488390132787
1,8,14,1488390132987
1,8,15,1488390133154
1,8,16,1488390133354
1,8,18,1488390133754
1,8,20,1488390134354
1,8,21,1488390134520
1,8,22,1488390134721
1,8,25,1488390135521
1,8,28,1488390135887
1,8,29,1488390136088
1,8,30,1488390136320
1,8,31,1488390136520
1,8,33,1488390136687
1,8,34,1488390136920
1,8,36,1488390137321
1,8,37,1488390137554
1,8,38,1488390137720
1,8,40,1488390137921
1,8,41,1488390138121
1,8,42,1488390138321
1,8,43,1488390138521
1,8,45,1488390138721
1,8,46,1488390138921
1,8,47,1488390139921
-1,9,1,1488390141355
-1,9,12,1488390141755
-1,8,39,1488390142990
-1,8,19,1488390144022
-1,8,27,1488390144756
-1,8,27,1488390145022
-1,8,27,1488390145255
-1,8,26,1488390145422
9,8,-1,1488390147856
1,9,1,1488390152022
2,9,1,1488390152189
1,9,3,1488390152523
2,9,3,1488390152722
-1,9,0,1488390152922
1,9,1,1488390153122
1,9,2,1488390153323
1,9,4,1488390153523
1,9,5,1488390153689
1,9,6,1488390153889
1,9,9,1488390154022
1,9,10,1488390154189
1,9,12,1488390154522
1,9,13,1488390154688
1,9,14,1488390154855
1,9,15,1488390155055
1,9,16,1488390155222
1,9,18,1488390155388
1,9,19,1488390155755
1,9,21,1488390155888
1,9,22,1488390156088
1,9,23,1488390156288
1,9,24,1488390156455
1,9,25,1488390156622
1,9,26,1488390156822
1,9,27,1488390156989
1,9,28,1488390157188
1,9,29,1488390157388
1,9,30,1488390157555
1,9,31,1488390157755
1,9,34,1488390158155
2,9,34,1488390158355
1,9,34,1488390158555
1,9,35,1488390158788
1,9,36,1488390159155
1,9,38,1488390159355
1,9,39,1488390159522
1,9,40,1488390159723
1,9,42,1488390160122
1,9,43,1488390160289
1,9,44,1488390160522
1,9,45,1488390160689
2,9,45,1488390161055
1,9,47,1488390161322
2,9,47,1488390161522
1,9,46,1488390161755
-1,9,45,1488390161955
-1,9,45,1488390162123
2,9,46,1488390162355
1,9,47,1488390162522
-1,9,46,1488390163190
-1,9,46,1488390163356
-1,9,46,1488390163790
-1,9,46,1488390164190
-1,9,46,1488390164390
-1,9,46,1488390164590
-1,9,45,1488390164823
-1,9,46,1488390165057
2,9,47,1488390165224
1,9,47,1488390165457
-1,9,46,1488390165956
-1,9,46,1488390166157
2,9,47,1488390166390
1,9,47,1488390167156
2,9,47,1488390167390
1,9,47,1488390167557
-1,9,46,1488390167757
-1,9,46,1488390167990
9,9,-1,1488390168857
1,10,0,1488390169924
1,10,1,1488390170123
1,10,2,1488390170424
1,10,3,1488390170623
1,10,5,1488390170990
1,10,6,1488390171190
1,10,8,1488390171590
1,10,9,1488390171790
2,10,9,1488390171957
1,10,11,1488390172124
1,10,12,1488390172323
1,10,13,1488390172556
1,10,14,1488390172723
1,10,15,1488390173157
1,10,16,1488390173325
1,10,17,1488390173524
1,10,19,1488390173924
1,10,20,1488390174324
1,10,21,1488390174524
2,10,21,1488390174723
1,10,21,1488390174890
1,10,22,1488390175090
1,10,23,1488390175324
2,10,23,1488390175523
1,10,24,1488390175723
1,10,25,1488390175923
2,10,25,1488390176156
1,10,25,1488390176357
2,10,25,1488390176523
1,10,27,1488390176790
2,10,27,1488390176956
1,10,28,1488390177190
-1,10,27,1488390177457
-1,10,25,1488390177656
-1,10,27,1488390178090
2,10,28,1488390178357
1,10,30,1488390178556
2,10,30,1488390178724
1,10,31,1488390178923
1,10,32,1488390179156
1,10,33,1488390179390
1,10,35,1488390179590
2,10,35,1488390179790
1,10,36,1488390179990
1,10,37,1488390180190
2,10,37,1488390180390
1,10,38,1488390180623
2,10,38,1488390180823
1,10,39,1488390181056
1,10,40,1488390181223
1,10,41,1488390181491
1,10,42,1488390181690
1,10,43,1488390182090
1,10,45,1488390182290
2,10,45,1488390182490
1,10,46,1488390182757
1,10,47,1488390182923
-1,10,45,1488390184225
-1,10,46,1488390184424
-1,10,44,1488390184625
-1,10,38,1488390185058
-1,10,38,1488390185291
-1,10,37,1488390185457
-1,11,0,1488390189558
-1,11,0,1488390189758
9,10,-1,1488390189857
1,11,1,1488390189959
-1,11,0,1488390190125
1,11,2,1488390190491
1,11,4,1488390190659
1,11,8,1488390191458
