%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488389501134,1488389504135,1488389512379
1,G4,G,4,1488389513901,1488389516902,1488389522372
2,3W5,W,35,1488389523902,1488389528403,1488389532628
3,T7L,TL,7,1488389534152,1488389538654,1488389542819
4,1JA,JA,1,1488389545819,1488389550322,1488389555688
0,F4,F,4,1488389561387,1488389564388,1488389568145
1,1J,J,1,1488389569671,1488389572672,1488389576644
2,A7,A,7,1488389578171,1488389581173,1488389584705
3,L1H,H,1,1488389586239,1488389590740,1488389594392
4,T2S,TS,2,1488389595922,1488389600424,1488389604849
5,K43,K,43,1488389606373,1488389610875,1488389614396
