%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487898220716,1487898223718,1487898229975
1,G4,G,4,1487898231500,1487898234502,1487898238201
2,3W5,W,35,1487898239734,1487898244235,1487898247968
3,T7L,LT,7,1487898249501,1487898254003,1487898258035
4,1JA,AJ,1,1487898259569,1487898264070,1487898268948
0,L2,L,2,1487898273003,1487898276004,1487898279613
1,6P,P,6,1487898281136,1487898284138,1487898287586
2,B5,B,5,1487898289087,1487898292088,1487898296254
3,F7L,FL,7,1487898297788,1487898302290,1487898307704
4,R4D,DR,4,1487898309239,1487898313740,1487898317765
5,H18,H,18,1487898319288,1487898323790,1487898327756
6,T9A3,AT,39,1487898329289,1487898335291,1487898340901
7,V1J5,JV,15,1487898342423,1487898348425,1487898353567
8,7N4L,LN,47,1487898355090,1487898361092,1487898368501
9,8D6G1,DG,168,1487898370025,1487898377527,1487898386092
10,K2C7S,CKS,27,1487898387626,1487898395127,1487898401864
11,5P3Y9,PY,359,1487898403393,1487898410895,1487898417515
12,M4E7Q2,EMQ,247,1487898419044,1487898428046,1487898436801
13,W8H5F3,FHW,358,1487898438329,1487898447330,1487898453985
14,6G9A2S,AGS,169,1487898455513,1487898464515,1487898480651
15,R3B4Z1C,BCRZ,134,1487898482181,1487898492683,1487898507466
16,5T9B4K3,BKT,3459,1487898508966,1487898519468,1487898538820
17,E1H8R4D,EH,148,1487898540351,1487898550853,1487898569319
18,5H9S2N6A,,2569,1487898570853,1487898582855,1487898601272
19,D1R9B4K3,DKR,1479,1487898602804,1487898614807,1487898642440
20,7M2T6F1Z,FMTZ,1267,1487898643940,1487898655943,1487898664764
