%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488244808025,1488244811026,1488244820160
1,G4,G,4,1488244821659,1488244824661,1488244828480
2,3W5,W,35,1488244830010,1488244834511,1488244839675
3,T7L,LT,7,1488244841194,1488244845696,1488244855733
4,1JA,AJ,1,1488244857262,1488244861763,1488244866762
0,L2,L,2,1488244871029,1488244874029,1488244877550
1,6P,P,6,1488244879078,1488244882079,1488244885450
2,B5,B,5,1488244886978,1488244889980,1488244893312
3,F7L,FL,7,1488244894846,1488244899347,1488244909851
4,R4D,DR,4,1488244911380,1488244915881,1488244920985
5,H18,H,18,1488244922513,1488244927015,1488244931025
6,T9A3,AT,39,1488244932547,1488244938549,1488244947515
7,V1J5,JV,15,1488244949048,1488244955050,1488244964149
8,7N4L,LN,47,1488244965683,1488244971684,1488244982200
9,8D6G1,DG,168,1488244983733,1488244991235,1488245002935
10,K2C7S,CKS,27,1488245004468,1488245011970,1488245022990
11,5P3Y9,PY,35,1488245024519,1488245032021,1488245052195
12,M4E7Q2,MQ,1472,1488245053721,1488245062723,1488245081743
13,W8H5F3,FHW,538,1488245083272,1488245092274,1488245121041
14,6G9A2S,GH,269,1488245122574,1488245131577,1488245155731
