%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486148700449,1486148703451,1486148712356
1,G4,G,4,1486148713867,1486148716868,1486148721773
2,3W5,W,35,1486148723301,1486148727802,1486148734068
3,T7L,LT,7,1486148735602,1486148740103,1486148746376
4,1JA,AJ,1,1486148747902,1486148752404,1486148758311
0,L2,L,2,1486148765470,1486148768471,1486148772423
1,6P,P,6,1486148773953,1486148776955,1486148780805
2,B5,B,5,1486148782337,1486148785339,1486148789823
3,F7L,FL,7,1486148791354,1486148795856,1486148800188
4,R4D,DR,4,1486148801722,1486148806223,1486148810995
5,H18,H,18,1486148812522,1486148817016,1486148821225
6,T9A3,AT,39,1486148822753,1486148828755,1486148833398
7,V1J5,JT,15,1486148834920,1486148840923,1486148848165
8,7N4L,LN,47,1486148849688,1486148855689,1486148860555
9,8D6G1,G,168,1486148862072,1486148869574,1486148878858
10,K2C7S,CKS,27,1486148880390,1486148887891,1486148893045
11,5P3Y9,PY,359,1486148894574,1486148902075,1486148907110
12,M4E7Q2,EMQ,247,1486148908641,1486148917643,1486148923482
13,W8H5F3,FHW,358,1486148925009,1486148934011,1486148943813
14,6G9A2S,AGS,269,1486148945344,1486148954345,1486148960527
15,R3B4Z1C,BCGR,134,1486148962061,1486148972563,1486148981295
16,5T9B4K3,BKT,345,1486148982829,1486148993330,1486149012556
17,E1H8R4D,EDH,148,1486149014079,1486149024580,1486149030429
