%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488223123050,1488223126018,1488223132955
1,G4,G,4,1488223134484,1488223137486,1488223150629
2,3W5,W,35,1488223152185,1488223156653,1488223161236
3,T7L,LT,7,1488223162803,1488223167271,1488223172586
4,1JA,AJ,1,1488223174120,1488223178621,1488223183557
0,F4,F,4,1488223187187,1488223190189,1488223194505
1,1J,J,1,1488223196038,1488223199039,1488223203273
2,A7,A,7,1488223204805,1488223207806,1488223212499
3,L1H,HL,1,1488223214022,1488223218524,1488223230343
4,T2S,ST,2,1488223231873,1488223236375,1488223242230
5,K43,K,34,1488223243757,1488223248259,1488223253264
6,R5B2,BR,25,1488223254791,1488223260793,1488223267148
7,N3L9,LN,39,1488223268675,1488223274677,1488223280926
8,5V8P,PV,58,1488223282459,1488223288461,1488223293415
9,4M7S1,MS,147,1488223294943,1488223302445,1488223316094
10,L3E1D,ELN,13,1488223317628,1488223325129,1488223335612
11,9M6K2,KM,269,1488223337146,1488223344647,1488223360003
12,D1B5R9,BDR,159,1488223361530,1488223370532,1488223382535
13,G9T2A5,BGT,259,1488223384065,1488223393067,1488223404866
14,3W5A1G,AGW,135,1488223406399,1488223415402,1488223422584
15,B6H7A5K,ABGH,1567,1488223424117,1488223434619,1488223451985
16,8H4R1C2,CHR,1248,1488223453519,1488223464021,1488223474523
17,C7B5N9Y,BCNY,579,1488223476056,1488223486556,1488223497209
18,3Q8D4R6F,DRQ,3468,1488223498738,1488223510740,1488223526623
19,P2H8F4Y6,HPRY,1247,1488223528156,1488223540158,1488223568148
20,7D9T3E4S,EDTS,379,1488223569675,1488223581677,1488223599560
