%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,5,8,3,1,1,3,1486177227961,1486177228563,1486177227430
6,5,9,3,1,0,6,1486177231028,-1,1486177230496
6,5,10,3,1,1,2,1486177234061,1486177235295,1486177233531
6,5,11,3,1,0,1,1486177237128,-1,1486177236598
6,5,12,3,1,0,0,1486177240162,-1,1486177239633
6,5,13,3,1,0,3,1486177243195,-1,1486177242664
6,5,14,3,1,0,4,1486177246262,-1,1486177245731
6,5,15,3,0,0,2,1486177249296,1486177250363,1486177248765
6,5,16,3,1,1,3,1486177252329,1486177253396,1486177251799
6,5,17,3,1,1,4,1486177255329,1486177256530,1486177254833
6,5,18,3,1,0,0,1486177258396,-1,1486177257866
6,5,19,3,0,1,3,1486177261430,-1,1486177260899
6,5,20,3,1,0,5,1486177264463,-1,1486177263933
6,5,21,3,1,0,5,1486177267497,-1,1486177266967
6,5,22,3,1,0,6,1486177270530,-1,1486177270000
6,5,23,3,0,0,0,1486177273564,1486177274864,1486177273033
6,6,1,1,0,3,1,1486177281814,-1,1486177281282
6,6,2,1,1,1,1,1486177284848,1486177285515,1486177284317
6,6,3,1,1,0,4,1486177287881,-1,1486177287351
6,6,4,1,1,0,6,1486177290915,-1,1486177290383
6,6,5,1,1,1,6,1486177293948,1486177294482,1486177293451
6,6,6,1,1,0,3,1486177297015,-1,1486177296484
6,6,7,1,1,0,0,1486177300048,-1,1486177299551
6,6,8,1,1,0,1,1486177303116,-1,1486177302585
6,6,9,1,1,1,1,1486177306149,1486177306749,1486177305651
6,6,10,1,1,0,5,1486177309216,-1,1486177308685
6,6,11,1,1,1,5,1486177312250,1486177312849,1486177311719
6,6,12,1,1,0,2,1486177315316,-1,1486177314786
6,6,13,1,1,0,0,1486177318349,-1,1486177317819
6,6,14,1,1,0,3,1486177321383,-1,1486177320853
6,6,15,1,1,0,5,1486177324450,-1,1486177323919
6,6,16,1,1,1,5,1486177327517,1486177328350,1486177326987
6,6,17,1,1,0,4,1486177330550,-1,1486177330019
