%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486176561026,1486176568091
1,1,34,34,0,1486176569093,1486176575258
2,0,52,52,0,1486176582394,1486176588826
2,1,36,36,0,1486176589827,1486176595959
2,2,368,368,0,1486176596961,1486176604993
2,3,208,208,0,1486176605962,1486176613827
2,4,2306,2306,0,1486176614796,1486176624862
2,5,5047,5047,0,1486176625863,1486176635928
2,6,41075,41075,0,1486176636897,1486176649229
2,7,31620,31620,0,1486176650197,1486176663230
2,8,281376,28136,0,1486176664199,1486176679397
2,9,816508,816508,0,1486176680399,1486176694398
2,10,4806317,4806317,0,1486176695400,1486176711966
2,11,0851680,4581604,0,1486176712935,1486176730867
2,12,47081536,4780516,0,1486176731868,1486176751602
2,13,25408016,2450836,0,1486176752604,1486176774236
3,0,60,06,0,1486176782772,1486176789704
3,1,24,42,0,1486176790705,1486176797171
4,0,51,15,0,1486176801941,1486176808338
4,1,37,73,0,1486176809340,1486176815638
4,2,630,036,0,1486176816607,1486176824539
4,3,580,085,0,1486176825540,1486176834074
4,4,5683,8653,0,1486176835041,1486176844973
4,5,2841,4821,0,1486176845975,1486176856575
