%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486153363639,1486153366641,1486153378584
1,G4,G,4,1486153380107,1486153383108,1486153387565
2,3W5,W,35,1486153389091,1486153393592,1486153399041
3,T7L,L,7,1486153400574,1486153405076,1486153408764
4,1JA,AJ,1,1486153411792,1486153416293,1486153422163
0,F4,F,4,1486153429526,1486153432495,1486153436393
1,1J,J,1,1486153437927,1486153440928,1486153445578
2,A7,A,7,1486153447111,1486153450113,1486153456220
3,L1H,HL,1,1486153457744,1486153462246,1486153471897
4,T2S,ST,2,1486153473462,1486153477930,1486153482212
5,K43,K,34,1486153483746,1486153488248,1486153492463
6,R5B2,BR,25,1486153493997,1486153499998,1486153505925
7,N3L9,LN,39,1486153507447,1486153513449,1486153521786
8,5V8P,PV,58,1486153523315,1486153529316,1486153535111
9,4M7S1,MS,147,1486153536633,1486153544134,1486153550166
10,L3E1D,DEL,13,1486153551700,1486153559202,1486153566341
11,9M6K2,KM,269,1486153567867,1486153575369,1486153582374
12,D1B5R9,BDR,159,1486153583902,1486153592903,1486153599858
13,G9T2A5,AGT,259,1486153601386,1486153610388,1486153617037
14,3W5A1G,AGW,135,1486153618571,1486153627572,1486153634521
15,B6H7A5K,BHK,567,1486153636055,1486153646556,1486153660824
16,8H4R1C2,AHKR,1248,1486153662356,1486153672858,1486153688524
17,C7B5N9Y,BCMY,579,1486153690057,1486153700559,1486153711542
