%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,5,18,3,0,0,0,1488322368693,1488322369393,1488322368164
6,5,19,3,0,0,6,1488322371793,1488322372160,1488322371231
6,5,20,3,0,0,4,1488322374860,1488322374960,1488322374331
6,5,21,3,1,1,0,1488322377926,1488322378127,1488322377364
6,5,22,3,1,1,6,1488322380994,1488322381027,1488322380431
6,6,0,1,1,3,4,1488322384960,-1,1488322384431
6,6,1,1,1,0,6,1488322388027,-1,1488322387498
6,6,2,1,1,0,4,1488322391094,-1,1488322390564
6,6,3,1,1,0,7,1488322394161,-1,1488322393632
6,6,4,1,1,0,5,1488322397229,-1,1488322396698
6,6,5,1,1,0,0,1488322400328,-1,1488322399765
6,6,6,1,1,0,6,1488322403395,-1,1488322402868
6,6,7,1,1,1,6,1488322406495,1488322407228,1488322405933
6,6,8,1,1,1,6,1488322409562,1488322410562,1488322409032
6,6,9,1,1,1,6,1488322412628,1488322413329,1488322412100
6,6,10,1,1,1,6,1488322415695,1488322416396,1488322415133
6,6,11,1,1,0,2,1488322418729,-1,1488322418200
6,6,12,1,1,0,4,1488322421796,-1,1488322421266
6,6,13,1,1,0,5,1488322424862,-1,1488322424300
6,6,14,1,1,1,5,1488322427929,1488322428796,1488322427400
6,6,15,1,1,0,7,1488322431030,-1,1488322430469
6,6,16,1,1,0,1,1488322434096,-1,1488322433568
6,6,17,1,1,0,0,1488322437164,-1,1488322436635
6,6,18,1,1,1,0,1488322440263,1488322441330,1488322439701
6,6,19,1,1,0,5,1488322443331,-1,1488322442802
6,6,20,1,1,0,6,1488322446398,-1,1488322445835
6,7,0,2,1,3,1,1488322451697,-1,1488322451168
6,7,1,2,1,3,0,1488322454764,-1,1488322454235
6,7,2,2,1,1,1,1488322457798,1488322460265,1488322457268
6,7,3,2,1,0,6,1488322460898,-1,1488322460335
6,7,4,2,0,2,0,1488322463965,1488322465666,1488322463404
6,7,5,2,0,2,1,1488322467031,1488322467932,1488322466469
6,7,6,2,0,0,5,1488322470098,1488322470232,1488322469570
6,7,7,2,1,1,1,1488322473133,1488322473232,1488322472636
6,7,8,2,1,1,5,1488322476199,1488322477132,1488322475669
6,7,9,2,1,0,7,1488322479299,-1,1488322478736
6,7,10,2,0,2,1,1488322482332,1488322483066,1488322481804
6,7,11,2,1,0,0,1488322485432,-1,1488322484870
6,7,12,2,0,0,4,1488322488499,1488322489033,1488322487938
6,7,13,2,1,0,2,1488322491533,-1,1488322491037
6,7,14,2,1,1,4,1488322494600,1488322496033,1488322494072
6,7,15,2,0,0,6,1488322497666,1488322499634,1488322497105
6,7,16,2,0,0,1,1488322500733,1488322501401,1488322500170
6,7,17,2,1,2,4,1488322503801,-1,1488322503237
6,7,18,2,1,1,1,1488322506900,1488322507634,1488322506338
6,7,19,2,1,1,4,1488322509967,1488322511334,1488322509404
6,7,20,2,1,2,4,1488322513068,-1,1488322512504
6,7,21,2,1,2,1,1488322516134,-1,1488322515606
6,8,0,3,0,3,2,1488322520668,1488322521279,1488322520139
6,8,1,3,1,3,7,1488322523736,-1,1488322523208
6,8,2,3,1,3,5,1488322526835,-1,1488322526273
6,8,3,3,1,0,4,1488322529935,-1,1488322529373
6,8,4,3,0,0,2,1488322533036,1488322533702,1488322532473
6,8,5,3,0,2,7,1488322536103,1488322536636,1488322535539
6,8,6,3,1,1,4,1488322539169,1488322540036,1488322538640
6,8,7,3,0,0,6,1488322542203,1488322544336,1488322541674
6,8,8,3,1,2,2,1488322545278,-1,1488322544740
6,8,9,3,0,0,0,1488322548369,1488322549170,1488322547808
6,8,10,3,0,2,2,1488322551436,1488322552303,1488322550907
6,8,11,3,1,2,0,1488322554537,-1,1488322553974
6,8,12,3,1,1,0,1488322557604,1488322557937,1488322557074
6,8,13,3,0,1,2,1488322560704,-1,1488322560140
6,8,14,3,1,0,7,1488322563771,-1,1488322563241
6,8,15,3,1,1,0,1488322566871,1488322567371,1488322566311
6,8,16,3,1,0,3,1488322569971,-1,1488322569408
6,8,17,3,0,0,4,1488322573037,1488322573904,1488322572475
6,8,18,3,1,1,0,1488322576138,1488322576871,1488322575576
6,8,19,3,0,2,7,1488322579204,1488322580271,1488322578643
6,8,20,3,0,2,7,1488322582305,1488322582838,1488322581742
6,8,21,3,1,0,5,1488322585371,-1,1488322584842
6,8,22,3,1,1,7,1488322588438,1488322589205,1488322587876
