%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,666,1486165187299,1486165190301,1486165222089
1,G4,G,4,1486165225084,1486165228086,1486165234590
2,3W5,W,35,1486165236118,1486165240620,1486165246669
3,T7L,L,7,1486165248202,1486165252704,1486165257534
4,1JA,AJ,1,1486165260553,1486165265054,1486165271097
0,F4,F,4,1486165275521,1486165278522,1486165282884
1,1J,J,1,1486165284404,1486165287406,1486165291807
2,A7,A,7,1486165293339,1486165296340,1486165300194
3,L1H,HL,1,1486165301722,1486165306224,1486165310717
4,T2S,ST,2,1486165312239,1486165316741,1486165320823
5,K43,K,34,1486165322357,1486165326858,1486165330711
6,R5B2,B,25,1486165332241,1486165338242,1486165342772
7,N3L9,LN,39,1486165344291,1486165350294,1486165358221
8,5V8P,PV,58,1486165359742,1486165365744,1486165370524
9,4M7S1,MS,147,1486165372044,1486165379545,1486165385151
10,L3E1D,DEL,13,1486165386677,1486165394179,1486165398944
11,9M6K2,KM,269,1486165400478,1486165407979,1486165412551
12,D1B5R9,BDR,159,1486165414078,1486165423081,1486165429303
13,G9T2A5,AGT,259,1486165430829,1486165439831,1486165445676
14,3W5A1G,AGW,135,1486165447197,1486165456199,1486165462409
15,B6H7A5K,ABHK,567,1486165463931,1486165474433,1486165480886
16,8H4R1C2,CHR,1248,1486165482415,1486165492917,1486165500090
17,C7B5N9Y,BCNY,579,1486165501617,1486165512118,1486165524189
18,3Q8D4R6F,DFQR,3468,1486165525718,1486165537720,1486165552349
19,P2H8F4Y6,FHPY,2469,1486165553870,1486165565872,1486165577254
20,7D9T3E4S,EDST,3479,1486165578754,1486165590757,1486165598779
