%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486429363631,1486429366633,1486429378820
1,G4,G,4,1486429380349,1486429383351,1486429390842
2,3W5,W,35,1486429392366,1486429396868,1486429401798
3,T7L,LT,7,1486429403317,1486429407819,1486429412601
4,1JA,AJ,1,1486429414135,1486429418636,1486429424336
0,F4,F,4,1486429429435,1486429432438,1486429437107
1,1J,J,1,1486429438636,1486429441637,1486429446043
2,A7,A,7,1486429447570,1486429450571,1486429455037
3,L1H,HL,2,1486429456570,1486429461072,1486429474114
4,T2S,ST,2,1486429475638,1486429480139,1486429485005
5,K43,K,34,1486429486538,1486429491040,1486429495349
6,R5B2,BR,25,1486429496873,1486429502874,1486429508949
7,N3L9,LN,39,1486429510474,1486429516475,1486429523798
8,5V8P,PV,58,1486429525324,1486429531326,1486429540025
9,4M7S1,MS,147,1486429541558,1486429549060,1486429556828
10,L3E1D,DEL,13,1486429558359,1486429565861,1486429584744
11,9M6K2,KM,269,1486429586244,1486429593746,1486429600744
12,D1B5R9,BDR,159,1486429602278,1486429611280,1486429619992
13,G9T2A5,AGT,259,1486429621512,1486429630515,1486429637414
14,3W5A1G,AGW,135,1486429638947,1486429647949,1486429655281
15,B6H7A5K,ABH,67,1486429656781,1486429667283,1486429673903
16,8H4R1C2,GHR,1248,1486429675415,1486429685917,1486429694683
17,C7B5N9Y,BDY,579,1486429696216,1486429706718,1486429713281
