%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486168141997,1486168145167,1486168153933
1,G4,G,4,1486168155465,1486168158684,1486168163932
2,3W5,W,35,1486168165465,1486168170401,1486168175000
3,T7L,LT,7,1486168176532,1486168181252,1486168190689
4,1JA,AJ,1,1486168192217,1486168196937,1486168203407
0,F4,F,4,1486168210701,1486168213737,1486168218542
1,1J,J,1,1486168220068,1486168223071,1486168226996
2,A7,A,7,1486168228519,1486168231521,1486168235087
3,L1H,HL,1,1486168236619,1486168241338,1486168248503
4,T2S,ST,2,1486168250003,1486168254722,1486168260894
5,K43,K,34,1486168262454,1486168266923,1486168271128
6,R5B2,BR,25,1486168272688,1486168278657,1486168298501
7,N3L9,LN,39,1486168300023,1486168306242,1486168317112
8,5V8P,PV,58,1486168318674,1486168325076,1486168332574
9,4M7S1,MS,471,1486168334075,1486168342011,1486168408356
10,L3E1D,EDL,13,1486168409879,1486168417599,1486168437031
11,9M6K2,LKM,269,1486168438564,1486168446500,1486168509985
