%Recollect Version 2.3. Scene/Level: nback2, Session: 1, GameNumber: 3
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,NLevel,IsCorrect,IsTarget,Type,PresentationTime(R),PresentationTime(A),TimeOutTime(R),TimeOutTime(A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,3,5,1.73377,1488330229836,4.33386,1488330232445
0,3,1,3,6,4.83350,1488330232936,7.33374,1488330235441
0,3,1,3,0,7.83411,1488330235937,10.63391,1488330238740
0,3,1,1,5,10.83398,1488330238937,11.86755,1488330239974
0,3,1,0,4,13.83435,1488330241937,16.33472,1488330244441
0,3,1,2,5,16.83435,1488330244937,19.33472,1488330247440
0,3,1,1,5,19.83435,1488330247936,20.83459,1488330248940
0,3,1,0,2,22.83606,1488330250940,25.33472,1488330253440
0,3,1,2,4,25.83508,1488330253937,28.33496,1488330256440
0,3,1,2,2,28.83594,1488330256938,31.36853,1488330259475
0,3,0,2,4,31.83533,1488330259938,33.00183,1488330261108
0,3,0,2,2,34.83533,1488330262938,36.16882,1488330264277
0,3,1,1,2,37.83545,1488330265938,39.36938,1488330267476
0,3,1,0,5,40.83569,1488330268938,43.33569,1488330271440
0,3,1,0,6,43.83582,1488330271939,46.33594,1488330274441
0,3,1,0,1,46.83618,1488330274938,49.53589,1488330277641
0,3,1,2,6,49.76941,1488330277872,52.33679,1488330280442
0,3,1,1,6,52.83630,1488330280938,54.73645,1488330282843
0,3,1,0,3,55.83643,1488330283938,58.33655,1488330286443
0,3,1,0,4,58.83740,1488330286940,61.47009,1488330289575
0,3,1,1,6,61.70349,1488330289806,63.03687,1488330291143
0,3,1,0,1,64.83691,1488330292939,67.33704,1488330295442
0,3,1,0,2,67.83716,1488330295939,70.33728,1488330298442
0,3,1,0,7,70.83740,1488330298939,73.33740,1488330301444
0,3,1,0,5,73.83752,1488330301940,76.33752,1488330304442
0,3,0,1,2,76.83765,1488330304940,79.33789,1488330307444
0,3,1,2,2,79.83789,1488330307940,82.33801,1488330310443
0,3,0,2,2,82.83789,1488330310940,84.87158,1488330312979
0,3,0,2,7,85.83813,1488330313940,87.07507,1488330315183
0,3,1,0,1,88.83838,1488330316942,91.33850,1488330319444
0,3,0,2,7,91.83850,1488330319941,93.67212,1488330321779
0,3,1,0,5,94.83875,1488330322941,97.37219,1488330325477
0,3,1,1,1,97.83887,1488330325941,99.50574,1488330327612
0,3,1,0,2,100.83900,1488330328941,103.33890,1488330331441
0,3,1,2,1,103.83950,1488330331943,106.37280,1488330334478
0,3,0,1,1,106.87260,1488330334975,109.37280,1488330337479
0,3,0,1,2,109.87290,1488330337976,112.34000,1488330340445
0,3,1,0,6,112.84000,1488330340942,115.33980,1488330343448
0,3,1,1,1,115.83980,1488330343942,117.90670,1488330346015
0,3,0,1,2,118.84010,1488330346943,121.34060,1488330349446
0,3,1,2,1,121.84010,1488330349942,124.37370,1488330352479
0,3,1,1,1,124.84120,1488330352944,125.77380,1488330353881
0,3,1,0,4,127.87390,1488330355976,130.34070,1488330358445
1,530.68260,0.92233,2,131.14090,1488330361279
