%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486150232049,1486150238981
1,1,34,34,0,1486150239950,1486150245881
2,0,52,52,0,1486150253383,1486150259715
2,1,36,36,1,1486150260717,1486150271183
2,2,368,368,0,1486150272184,1486150281084
2,3,208,208,0,1486150282086,1486150290050
2,4,2306,2306,0,1486150291052,1486150300818
2,5,5047,5047,0,1486150301819,1486150312185
2,6,41075,41075,0,1486150313187,1486150324786
2,7,31620,31620,0,1486150325755,1486150337420
2,8,281376,281367,0,1486150338421,1486150358822
2,9,816508,186508,1,1486150359823,1486150380956
3,0,60,06,0,1486150387492,1486150393690
3,1,24,42,0,1486150394658,1486150400823
4,0,51,15,0,1486150406125,1486150412524
4,1,37,73,0,1486150413493,1486150419624
4,2,630,036,0,1486150420626,1486150428558
4,3,580,085,0,1486150429528,1486150437859
4,4,5683,3865,0,1486150438827,1486150448693
4,5,2841,1482,0,1486150449694,1486150461060
4,6,47812,21874,0,1486150462062,1486150474094
4,7,03415,51430,0,1486150475062,1486150487562
4,8,507613,316705,0,1486150488563,1486150502996
4,9,073280,082370,0,1486150503964,1486150519097
4,10,4083671,1763840,0,1486150520066,1486150536281
4,11,8027308,,1,1486150537250,1486150572149
