%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486154967775,1486154975140
1,1,34,34,0,1486154976141,1486154982673
2,0,52,52,0,1486154990076,1486154996141
2,1,36,36,0,1486154997142,1486155003008
2,2,368,368,0,1486155004010,1486155011876
2,3,208,208,0,1486155012843,1486155020642
2,4,2306,2306,0,1486155021611,1486155031076
2,5,5047,5047,0,1486155032044,1486155041410
2,6,41075,41075,0,1486155042378,1486155054277
2,7,31620,31620,0,1486155055280,1486155066845
2,8,281376,281376,0,1486155067813,1486155081213
2,9,816508,816508,0,1486155082181,1486155096147
2,10,4806317,4860317,0,1486155097148,1486155116681
2,11,0851680,0851608,0,1486155117683,1486155135816
3,0,60,06,0,1486155143884,1486155150216
3,1,24,42,0,1486155151185,1486155157316
4,0,51,15,0,1486155165652,1486155171784
4,1,37,73,0,1486155172752,1486155178518
4,2,630,036,0,1486155179486,1486155186918
4,3,580,085,0,1486155187888,1486155195618
4,4,5683,3865,0,1486155196621,1486155206452
4,5,2841,1482,0,1486155207421,1486155217053
4,6,47812,21874,0,1486155218021,1486155230354
4,7,03415,51430,0,1486155231323,1486155243088
4,8,507613,316705,0,1486155244090,1486155257356
4,9,073280,028370,0,1486155258324,1486155275056
4,10,4083671,1763804,0,1486155276058,1486155291691
4,11,8027308,8037204,0,1486155292693,1486155309425
4,12,52480873,37808425,0,1486155310394,1486155328409
4,13,41807263,36217084,1,1486155329412,1486155354844
4,14,672183054,450813276,0,1486155355813,1486155377512
4,15,734127416,61423287,0,1486155378481,1486155399847
