%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,5,9,3,1,0,6,1486431520716,-1,1486431520186
6,5,10,3,1,0,7,1486431523749,-1,1486431523219
6,5,11,3,1,0,7,1486431526783,-1,1486431526253
6,5,12,3,1,0,5,1486431529783,-1,1486431529286
6,5,13,3,1,0,0,1486431532850,-1,1486431532319
6,5,14,3,1,0,0,1486431535884,-1,1486431535353
6,5,15,3,0,0,6,1486431538950,1486431539917,1486431538420
6,5,16,3,1,1,0,1486431541984,1486431543084,1486431541453
6,5,17,3,1,1,0,1486431545018,1486431546351,1486431544521
6,5,18,3,1,0,7,1486431548084,-1,1486431547555
6,5,19,3,1,0,3,1486431551151,-1,1486431550620
6,5,20,3,1,1,0,1486431554218,1486431555185,1486431553687
6,5,21,3,1,0,1,1486431557251,-1,1486431556722
6,5,22,3,1,1,3,1486431560285,1486431560785,1486431559754
6,5,23,3,1,1,0,1486431563285,1486431564719,1486431562788
6,6,1,4,1,3,7,1486431567752,-1,1486431567220
6,6,2,4,1,3,3,1486431570819,-1,1486431570288
6,6,3,4,1,3,0,1486431573886,-1,1486431573355
6,6,4,4,1,3,6,1486431576919,-1,1486431576388
6,6,5,4,1,0,4,1486431579986,-1,1486431579455
6,6,6,4,0,0,7,1486431583019,1486431583686,1486431582489
6,6,7,4,1,0,2,1486431586054,-1,1486431585522
6,6,8,4,1,0,1,1486431589120,-1,1486431588590
6,6,9,4,1,1,4,1486431592121,1486431592820,1486431591623
6,6,10,4,1,0,3,1486431595154,-1,1486431594656
6,6,11,4,1,1,2,1486431598220,1486431599154,1486431597690
6,6,12,4,1,1,1,1486431601254,1486431602288,1486431600757
6,6,13,4,1,1,4,1486431604321,1486431605422,1486431603790
6,6,14,4,1,0,0,1486431607354,-1,1486431606823
6,6,15,4,0,0,6,1486431610421,1486431612022,1486431609890
6,6,16,4,1,0,7,1486431613455,-1,1486431612924
6,6,17,4,0,0,6,1486431616521,1486431618556,1486431615991
6,6,18,4,1,0,5,1486431619555,-1,1486431619025
6,6,19,4,1,0,3,1486431622589,-1,1486431622093
6,6,20,4,1,0,4,1486431625656,-1,1486431625125
6,6,21,4,1,0,4,1486431628722,-1,1486431628192
6,6,22,4,1,0,7,1486431631756,-1,1486431631225
6,6,23,4,0,1,3,1486431634789,-1,1486431634258
6,6,24,4,1,1,4,1486431637823,1486431638623,1486431637292
6,7,1,1,1,3,6,1486431647790,-1,1486431647257
6,7,2,1,1,0,5,1486431650823,-1,1486431650293
6,7,3,1,1,1,5,1486431653857,1486431654791,1486431653326
6,7,4,1,1,0,1,1486431656891,-1,1486431656393
6,7,5,1,1,0,0,1486431659957,-1,1486431659426
6,7,6,1,1,0,2,1486431662991,-1,1486431662460
6,7,7,1,1,0,4,1486431666024,-1,1486431665493
6,7,8,1,1,0,1,1486431669058,-1,1486431668560
6,7,9,1,1,1,1,1486431672091,1486431674158,1486431671594
6,7,10,1,1,0,2,1486431675158,-1,1486431674627
6,7,11,1,1,0,4,1486431678225,-1,1486431677695
6,7,12,1,1,0,0,1486431681292,-1,1486431680762
6,7,13,1,1,0,7,1486431684325,-1,1486431683794
6,7,14,1,1,0,6,1486431687359,-1,1486431686828
6,7,15,1,1,1,6,1486431690392,1486431691159,1486431689861
6,7,16,1,1,0,7,1486431693459,-1,1486431692928
6,7,17,1,1,0,5,1486431696526,-1,1486431695995
6,7,18,1,1,1,5,1486431699593,1486431700093,1486431699062
6,7,19,1,1,1,5,1486431702660,1486431703593,1486431702129
6,7,20,1,1,1,5,1486431705693,1486431706194,1486431705163
6,7,21,1,1,0,4,1486431708727,-1,1486431708196
6,8,1,2,1,3,1,1486431713327,-1,1486431712795
6,8,2,2,1,3,2,1486431716360,-1,1486431715863
6,8,3,2,1,1,1,1486431719427,1486431720195,1486431718896
6,8,4,2,1,0,4,1486431722494,-1,1486431721964
6,8,5,2,1,1,1,1486431725528,1486431726495,1486431724997
6,8,6,2,1,2,1,1486431728561,-1,1486431728063
6,8,7,2,1,1,1,1486431731628,1486431732395,1486431731097
6,8,8,2,1,0,4,1486431734695,-1,1486431734164
6,8,9,2,1,0,2,1486431737728,-1,1486431737198
6,8,10,2,1,2,1,1486431740729,-1,1486431740231
6,8,11,2,1,2,1,1486431743762,-1,1486431743264
6,8,12,2,1,0,5,1486431746829,-1,1486431746299
6,8,13,2,1,0,6,1486431749862,-1,1486431749331
6,8,14,2,1,0,0,1486431752896,-1,1486431752365
6,8,15,2,1,1,6,1486431755929,1486431756663,1486431755399
6,8,16,2,1,2,6,1486431758963,-1,1486431758432
6,8,17,2,1,1,6,1486431762030,1486431762730,1486431761499
6,8,18,2,1,2,2,1486431765096,-1,1486431764566
6,8,19,2,1,0,5,1486431768130,-1,1486431767600
6,8,20,2,1,2,6,1486431771164,-1,1486431770633
6,8,21,2,1,1,5,1486431774197,1486431775864,1486431773667
6,8,22,2,1,0,2,1486431777230,-1,1486431776700
6,9,1,3,1,3,7,1486431781731,-1,1486431781198
6,9,2,3,1,3,6,1486431784764,-1,1486431784267
6,9,3,3,1,3,3,1486431787831,-1,1486431787301
6,9,4,3,1,1,7,1486431790898,1486431791498,1486431790367
6,9,5,3,1,2,3,1486431793965,-1,1486431793434
6,9,6,3,1,0,4,1486431796998,-1,1486431796502
6,9,7,3,1,0,1,1486431800032,-1,1486431799501
6,9,8,3,1,1,3,1486431803065,1486431803833,1486431802535
6,9,9,3,1,2,1,1486431806132,-1,1486431805601
6,9,10,3,1,1,1,1486431809166,1486431809999,1486431808668
6,9,11,3,1,0,7,1486431812232,-1,1486431811701
6,9,12,3,1,0,0,1486431815266,-1,1486431814735
6,9,13,3,0,0,6,1486431818333,1486431819033,1486431817802
6,9,14,3,0,2,1,1486431821367,1486431823267,1486431820869
6,9,15,3,0,1,0,1486431824433,-1,1486431823902
6,9,16,3,1,2,0,1486431827467,-1,1486431826937
6,9,17,3,1,1,1,1486431830533,1486431831834,1486431830003
6,9,18,3,1,1,0,1486431833567,1486431834201,1486431833036
6,9,19,3,1,0,6,1486431836600,-1,1486431836070
6,9,20,3,1,0,3,1486431839634,-1,1486431839103
6,9,21,3,1,2,1,1486431842702,-1,1486431842170
6,9,22,3,0,2,3,1486431845768,1486431846268,1486431845237
6,9,23,3,1,0,0,1486431848835,-1,1486431848304
