%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486428742266,1486428745268,1486428753695
1,G4,G,4,1486428755217,1486428758218,1486428770949
2,3W5,W,35,1486428772468,1486428776969,1486428791393
3,T7L,TL,7,1486428792919,1486428797420,1486428803892
4,1JA,JA,1,1486428806920,1486428811421,1486428818570
0,F4,F,4,1486428827104,1486428830105,1486428835360
1,1J,J,1,1486428836871,1486428839873,1486428844525
2,A7,A,7,1486428846055,1486428849057,1486428853905
3,L1H,LH,1,1486428855406,1486428859907,1486428864932
4,T2S,TS,2,1486428866456,1486428870958,1486428876048
5,K43,K,43,1486428877573,1486428882075,1486428886866
