%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486143858569,1486143861571,1486143872745
1,G4,G,4,1486143874270,1486143877272,1486143882187
2,3W5,W,35,1486143883721,1486143888222,1486143900038
3,T7L,LT,7,1486143901572,1486143906074,1486143914344
4,1JA,AJ,1,1486143915872,1486143920374,1486143925025
0,F4,F,4,1486143930690,1486143933691,1486143937478
1,1J,J,1,1486143939007,1486143942009,1486143945964
2,A7,A,7,1486143947491,1486143950492,1486143954380
3,L1H,HL,1,1486143955908,1486143960410,1486143968338
4,T2S,ST,2,1486143969859,1486143974360,1486143981593
5,K43,K,34,1486143983093,1486143987594,1486143991494
6,R5B2,BR,25,1486143993027,1486143999028,1486144007949
7,N3L9,LN,39,1486144009478,1486144015479,1486144024212
8,5V8P,PV,58,1486144025712,1486144031713,1486144042207
9,4M7S1,AM,147,1486144043730,1486144051232,1486144065281
10,L3E1D,DEL,31,1486144066781,1486144074282,1486144113085
11,9M6K2,KM,269,1486144114617,1486144122119,1486144147869
12,D1B5R9,DBR,159,1486144149369,1486144158371,1486144175537
13,G9T2A5,GTA,259,1486144177070,1486144186072,1486144232998
14,3W5A1G,W,135,1486144234524,1486144243526,1486144257683
