%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486161388346,1486161395711
1,1,34,34,0,1486161396680,1486161402612
2,0,15,15,0,1486161411347,1486161417146
2,1,73,73,0,1486161418115,1486161424479
2,2,164,164,0,1486161425481,1486161433946
2,3,705,705,0,1486161434915,1486161442814
2,4,2173,2173,0,1486161443782,1486161453381
2,5,1504,1504,1,1486161454349,1486161467549
2,6,42350,42350,0,1486161468517,1486161481349
2,7,24061,24061,1,1486161482318,1486161496583
2,8,061743,71643,0,1486161497586,1486161511567
2,9,625037,625037,0,1486161512536,1486161527135
2,10,7152305,7152035,2,1486161528104,1486161553737
2,11,3157264,3157264,0,1486161554738,1486161570404
2,12,64527631,6452731,0,1486161571372,1486161591839
2,13,05631742,05613725,0,1486161592808,1486161613674
3,0,60,06,0,1486161625043,1486161631409
3,1,24,24,0,1486161632409,1486161639875
4,0,25,52,0,1486161650778,1486161657776
4,1,63,36,0,1486161658777,1486161664709
4,2,574,475,0,1486161665712,1486161674377
4,3,207,702,0,1486161675379,1486161683078
4,4,7305,5037,0,1486161684045,1486161694711
4,5,4130,0314,0,1486161695713,1486161705179
4,6,35741,14753,0,1486161706180,1486161719146
4,7,70526,62547,1,1486161720114,1486161734413
4,8,607251,52706,0,1486161735416,1486161749714
4,9,270643,346072,0,1486161750717,1486161764748
4,10,0416327,7236140,0,1486161765717,1486161782116
4,11,5632041,1402365,0,1486161783118,1486161799984
4,12,48256132,2316540,0,1486161800985,1486161820652
4,13,04523765,5673204,0,1486161821620,1486161841486
