%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,13,2,2,4,6,decnappjcbhifpbabamfbacjocohfeakcdbcajpbfcabanog,001001101010010000000000000000000000000000000000
1,42,7,14,9,13,mnaabcncjhbcofchnbabamkagocmbihagcbjncibbnhmamnp,000001010101101100000010111000101100010000100000
2,42,6,12,11,14,hacadeobeogibdpccdbglabcacmhcnaanhgbibkidkhmabbc,101000100110001110010001010110000110001000100000
3,46,8,13,9,17,acmfajhhhdbbfdecbcafkhiecmikbagbccljbafgacbicdpb,010000111000000101001100100100101100000101001010
4,40,6,13,8,14,cgdcnbebhalhaljaabcckibgccalflbpnapbomdlcdbgdmac,110000001001000000111001110000010010100010000000
5,46,7,14,10,16,kcfbadjbgcfajcphahdacbhdjfbacemepljbbjachhacangb,110000001100011101001010000010001000000111010010
6,45,7,14,10,15,gobaabldcfncabikiajdfjclocbemkcnaphajcbdbjabkcfa,110000001001000100000010110111100110010000001100
7,47,8,14,11,15,blaknpcbcajjlihccbobgedmmaklgjakackcbbggajcmcbaf,000101101000001110101000001010010111001100101000
8,45,8,12,15,11,ikocibbpoalocgmeaaaibbpccgoomclcahianbbkchlckkbb,011100011001110000000011111101010100000111011100
9,41,6,12,9,15,acpkbiacblahacknbnbliccmajlbacpklddmjbggkpdccbfb,011100010001011000000110000001110000000111000000
10,41,6,13,6,17,aklmbcbahcblcafcbdagnebjlmjbaackgcfilagegjcdggca,010001001100100100010000000000111100001000000000
11,44,7,13,9,16,hfbjcgafebpcjalacpcmkbbedmahdkbinapcblkcpmaccbob,100011000011000011101000000100000011001110001000
